Q,A,A_model,modelo_avaliado,prompt_version,gpt_judge_score_0_5,gpt_judge_score_normalizado,gpt_judge_categoria,gpt_judge_raciocinio,gpt_judge_raw,gpt_judge_erro,gemini_judge_score_0_5,gemini_judge_score_normalizado,gemini_judge_categoria,gemini_judge_raciocinio,gemini_judge_raw,gemini_judge_erro,claude_judge_score_0_5,claude_judge_score_normalizado,claude_judge_categoria,claude_judge_raciocinio,claude_judge_raw,claude_judge_erro,score_oficial_0_5,score_oficial_normalizado,resultado_oficial,regra_decisao,scores_julgadores,categorias_julgadores,desvio_score_entre_julgadores
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a ECF as pessoas jurídicas optantes pelo Simples Nacional, os órgãos públicos, as autarquias, as fundações públicas e as pessoas jurídicas inativas, entendendo-se como inativas aquelas que não realizaram qualquer atividade operacional, não operacional, patrimonial ou financeira, incluindo aplicações no mercado financeiro ou de capitais, durante todo o ano-calendário.",z-ai_glm-5.1,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente todas as hipóteses de desobrigação (Simples Nacional, órgãos públicos, autarquias, fundações públicas e pessoas jurídicas inativas) e o conceito de inatividade, sem contradições relevantes.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente todas as hipóteses de desobrigação (Simples Nacional, órgãos públicos, autarquias, fundações públicas e pessoas jurídicas inativas) e o conceito de inatividade, sem contradições relevantes.""}",,5.0,1.0,CORRETO,"A resposta da IA está perfeitamente alinhada com a do especialista, listando as mesmas entidades desobrigadas de apresentar a ECF.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA está perfeitamente alinhada com a do especialista, listando as mesmas entidades desobrigadas de apresentar a ECF.""}",,5.0,1.0,CORRETO,"A resposta da IA cobre adequadamente as três categorias de desobrigação (Simples Nacional, órgãos públicos/autarquias/fundações públicas e pessoas jurídicas inativas) com descrição correta do conceito de inatividade. Não há contradição com a resposta especialista, apenas omissão da menção explícita à DASN, que não é essencial para responder à questão principal.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre adequadamente as três categorias de desobrigação (Simples Nacional, órgãos públicos/autarquias/fundações públicas e pessoas jurídicas inativas) com descrição correta do conceito de inatividade. Não há contradição com a resposta especialista, apenas omissão da menção explícita à DASN, que não é essencial para responder à questão principal.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","A apresentação de ECF retificadora com valores de IRPJ e CSLL diferentes dos originalmente declarados pode gerar efeitos tributários relacionados à restituição, ao reembolso ou à compensação desses tributos administrados pela RFB. 

Se a retificação resultar em valores a restituir, a reembolsar ou a compensar, o crédito relativo a esses tributos será acrescido de juros equivalentes à taxa Selic para títulos federais, acumulados mensalmente, e de juros adicionais de 1% (um por cento). 

Esse acréscimo de 1% incidirá no mês em que:
- A quantia for disponibilizada ao sujeito passivo (no caso de restituição apurada em declaração de rendimentos da pessoa física, no mês em que o recurso for disponibilizado no banco ou instituição de pagamento; nos demais casos, no mês da efetivação da restituição);
- For entregue a declaração de compensação ou for efetivada a compensação na GFIP;
- For considerada efetuada a compensação de ofício, conforme a data definida nos incisos I e II do art. 96.",z-ai_glm-5.1,prompt,2.0,0.4,INCORRETO,"A IA trata apenas da hipótese de imposto menor (crédito a restituir/compensar com SELIC + 1%), omitindo totalmente a situação em que a retificação resulta em imposto maior, que é ponto central da resposta do especialista. Além disso, introduz menção a reembolso e detalhes procedimentais não alinhados ao enunciado, gerando confusão.","{""id"": 1, ""score"": 2, ""raciocinio"": ""A IA trata apenas da hipótese de imposto menor (crédito a restituir/compensar com SELIC + 1%), omitindo totalmente a situação em que a retificação resulta em imposto maior, que é ponto central da resposta do especialista. Além disso, introduz menção a reembolso e detalhes procedimentais não alinhados ao enunciado, gerando confusão.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA aborda corretamente os efeitos quando o imposto é menor (restituição/compensação), mas omite completamente a hipótese de a ECF retificadora apresentar imposto maior, o que é uma omissão relevante.","{""id"": 1, ""score"": 3, ""raciocinio"": ""A resposta da IA aborda corretamente os efeitos quando o imposto é menor (restituição/compensação), mas omite completamente a hipótese de a ECF retificadora apresentar imposto maior, o que é uma omissão relevante.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA aborda os efeitos tributários gerais (restituição, compensação e juros Selic + 1%), mas omite a distinção crucial entre imposto maior (com acréscimos) e imposto menor (com juros). Além disso, adiciona informações excessivamente detalhadas sobre datas específicas de incidência do 1% que não constam da resposta especialista, tornando a resposta menos clara e objetiva quanto ao ponto jurídico principal.","{""id"": 1, ""score"": 3, ""raciocinio"": ""A resposta da IA aborda os efeitos tributários gerais (restituição, compensação e juros Selic + 1%), mas omite a distinção crucial entre imposto maior (com acréscimos) e imposto menor (com juros). Além disso, adiciona informações excessivamente detalhadas sobre datas específicas de incidência do 1% que não constam da resposta especialista, tornando a resposta menos clara e objetiva quanto ao ponto jurídico principal.""}",,2.6666666666666665,0.5333333333333333,INCORRETO,media_dos_scores_validos,"{""gpt"": 2.0, ""gemini"": 3.0, ""claude"": 3.0}","{""gpt"": ""INCORRETO"", ""gemini"": ""PARCIALMENTE_CORRETO"", ""claude"": ""PARCIALMENTE_CORRETO""}",0.5773502691896258
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção independe de reconhecimento prévio.",z-ai_glm-5.1,prompt,5.0,1.0,CORRETO,A IA responde de forma direta e alinhada ao especialista: a isenção do IRPJ não depende de reconhecimento prévio. A síntese é suficiente e correta.,"{""id"": 2, ""score"": 5, ""raciocinio"": ""A IA responde de forma direta e alinhada ao especialista: a isenção do IRPJ não depende de reconhecimento prévio. A síntese é suficiente e correta.""}",,5.0,1.0,CORRETO,"A resposta da IA é direta, correta e perfeitamente alinhada com a do especialista.","{""id"": 2, ""score"": 5, ""raciocinio"": ""A resposta da IA é direta, correta e perfeitamente alinhada com a do especialista.""}",,5.0,1.0,CORRETO,"A resposta da IA responde corretamente e de forma concisa à questão, afirmando que a isenção não depende de reconhecimento prévio. Não há contradição com a resposta especialista, apenas maior brevidade, o que é aceitável.","{""id"": 2, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente e de forma concisa à questão, afirmando que a isenção não depende de reconhecimento prévio. Não há contradição com a resposta especialista, apenas maior brevidade, o que é aceitável.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica nas seguintes hipóteses:

1. Quando constituída como empresário nos termos do Código Civil;
2. Quando explora, habitual e profissionalmente, em nome individual, qualquer atividade econômica de natureza civil ou comercial com fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços;
3. Quando promove a incorporação de prédios em condomínio ou loteamento de terrenos.

Essa equiparação não se aplica às pessoas físicas que exercem individualmente as seguintes atividades ou profissões:

- Médico, engenheiro, advogado, dentista, veterinário, professor, economista, contador, jornalista, pintor, escritor, escultor e assemelhadas;
- Profissões, ocupações e prestação de serviços não comerciais;
- Agentes, representantes e outras pessoas sem vínculo empregatício que participam de atos de comércio, mas não os praticam por conta própria;
- Serventuários da Justiça, como tabeliães, notários e oficiais públicos;
- Corretores, leiloeiros, despachantes, seus prepostos e adjuntos;
- Exploração individual de contratos de empreitada unicamente de lavor (trabalhos arquitetônicos, topográficos, terraplenagem, construções de alvenaria, serviços de utilidade pública, entre outros congêneres);
- Exploração de obras artísticas, didáticas, científicas, urbanísticas e projetos técnicos, exceto quando não explorados diretamente pelo autor ou criador.",z-ai_glm-5.1,prompt,4.0,0.8,CORRETO,"A IA contempla as duas hipóteses centrais de equiparação (exploração habitual e profissional de atividade econômica com fim lucrativo e incorporação/loteamento), alinhadas ao especialista. Acrescenta uma hipótese genérica de empresário nos termos do Código Civil, que não chega a contrariar o conteúdo, e traz extensa lista de exceções não mencionadas pelo especialista, mas que não altera o núcleo jurídico da resposta. Há leve excesso de informação desnecessária.","{""id"": 3, ""score"": 4, ""raciocinio"": ""A IA contempla as duas hipóteses centrais de equiparação (exploração habitual e profissional de atividade econômica com fim lucrativo e incorporação/loteamento), alinhadas ao especialista. Acrescenta uma hipótese genérica de empresário nos termos do Código Civil, que não chega a contrariar o conteúdo, e traz extensa lista de exceções não mencionadas pelo especialista, mas que não altera o núcleo jurídico da resposta. Há leve excesso de informação desnecessária.""}",,5.0,1.0,CORRETO,"A resposta da IA traz as hipóteses corretas de equiparação e adiciona informações complementares válidas sobre exceções, sem contradizer o especialista.","{""id"": 3, ""score"": 5, ""raciocinio"": ""A resposta da IA traz as hipóteses corretas de equiparação e adiciona informações complementares válidas sobre exceções, sem contradizer o especialista.""}",,2.0,0.4,INCORRETO,"A resposta da IA adiciona informações extensas sobre profissões e atividades que NÃO caracterizam equiparação, as quais não constam da resposta especialista. Embora essas informações possam estar corretas, elas não foram solicitadas e geram confusão ao inverter o foco da resposta, que deveria ser sobre as hipóteses de equiparação, não sobre as exceções.","{""id"": 3, ""score"": 2, ""raciocinio"": ""A resposta da IA adiciona informações extensas sobre profissões e atividades que NÃO caracterizam equiparação, as quais não constam da resposta especialista. Embora essas informações possam estar corretas, elas não foram solicitadas e geram confusão ao inverter o foco da resposta, que deveria ser sobre as hipóteses de equiparação, não sobre as exceções.""}",,3.6666666666666665,0.7333333333333333,PARCIALMENTE_CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 2.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""INCORRETO""}",1.5275252316519465
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Sim, os condôminos pessoas físicas na propriedade de imóveis estão sujeitos à equiparação como pessoa jurídica. A cada condômino pessoa física são aplicados os critérios de caracterização de empresa individual e os demais dispositivos legais, como se ele fosse o único titular da operação imobiliária, nos limites de sua participação.",z-ai_glm-5.1,prompt,5.0,1.0,CORRETO,"A IA afirma que os condôminos pessoas físicas estão sujeitos à equiparação, aplicando-se a cada um os critérios de empresa individual, exatamente como esclarece o especialista. Não há contradição; apenas não repete a observação de que o condomínio não é sociedade em comum, o que não prejudica a resposta à pergunta.","{""id"": 4, ""score"": 5, ""raciocinio"": ""A IA afirma que os condôminos pessoas físicas estão sujeitos à equiparação, aplicando-se a cada um os critérios de empresa individual, exatamente como esclarece o especialista. Não há contradição; apenas não repete a observação de que o condomínio não é sociedade em comum, o que não prejudica a resposta à pergunta.""}",,5.0,1.0,CORRETO,"A resposta da IA confirma a equiparação individual de cada condômino nos limites de sua participação, em total alinhamento com o sentido jurídico da resposta do especialista.","{""id"": 4, ""score"": 5, ""raciocinio"": ""A resposta da IA confirma a equiparação individual de cada condômino nos limites de sua participação, em total alinhamento com o sentido jurídico da resposta do especialista.""}",,5.0,1.0,CORRETO,A resposta da IA responde corretamente que os condôminos estão sujeitos à equiparação e explica adequadamente que cada condômino pessoa física é tratado individualmente conforme os critérios de empresa individual. Alinha-se perfeitamente com a resposta especialista.,"{""id"": 4, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente que os condôminos estão sujeitos à equiparação e explica adequadamente que cada condômino pessoa física é tratado individualmente conforme os critérios de empresa individual. Alinha-se perfeitamente com a resposta especialista.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é aquela em que for celebrado o contrato inicial da operação imobiliária correspondente, ainda que por meio de instrumento particular. 

Para que a data constante de instrumento particular seja aceita pela autoridade fiscal, quando favorável aos interesses da pessoa física, é necessário que seja atendida, no mínimo, uma das seguintes condições:

- O instrumento tiver sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data nele constante;
- Houver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
- Houver conformidade com lançamentos contábeis da pessoa jurídica, observados os preceitos para escrituração em vigor;
- Houver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos.

Adicionalmente, o Ministro de Estado da Fazenda poderá estabelecer outros critérios para a aceitação dessa data.",z-ai_glm-5.1,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente a data relevante (contrato inicial, ainda que particular) e todas as condições alternativas para aceitação da data em instrumento particular, em linha com o especialista. A menção adicional à possibilidade de o Ministro da Fazenda estabelecer outros critérios não contradiz o conteúdo principal.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente a data relevante (contrato inicial, ainda que particular) e todas as condições alternativas para aceitação da data em instrumento particular, em linha com o especialista. A menção adicional à possibilidade de o Ministro da Fazenda estabelecer outros critérios não contradiz o conteúdo principal.""}",,5.0,1.0,CORRETO,"A resposta da IA elenca corretamente as condições para aceitação do instrumento particular, alinhada à resposta do especialista, e traz informação adicional correta.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A resposta da IA elenca corretamente as condições para aceitação do instrumento particular, alinhada à resposta do especialista, e traz informação adicional correta.""}",,4.0,0.8,CORRETO,"A resposta da IA cobre os elementos essenciais (data do contrato inicial e as quatro condições de aceitação), mas adiciona informação sobre possibilidade de o Ministro estabelecer outros critérios, que não consta da resposta especialista. Essa adição não contradiz, mas é desnecessária para responder à questão.","{""id"": 5, ""score"": 4, ""raciocinio"": ""A resposta da IA cobre os elementos essenciais (data do contrato inicial e as quatro condições de aceitação), mas adiciona informação sobre possibilidade de o Ministro estabelecer outros critérios, que não consta da resposta especialista. Essa adição não contradiz, mas é desnecessária para responder à questão.""}",,4.666666666666667,0.9333333333333333,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.",Mais de duas unidades imobiliárias ou a execução de loteamento.,z-ai_glm-5.1,prompt,3.0,0.6,PARCIALMENTE_CORRETO,"A IA acerta parcialmente ao indicar que a equiparação se relaciona a construção com mais de duas unidades ou loteamento, mas omite elementos relevantes: necessidade de ausência de arquivamento da incorporação, o marco temporal (alienação da primeira unidade/lote) e o prazo de 60 meses (36 meses para terrenos antigos). A resposta fica incompleta quanto ao início da tributação como pessoa jurídica.","{""id"": 6, ""score"": 3, ""raciocinio"": ""A IA acerta parcialmente ao indicar que a equiparação se relaciona a construção com mais de duas unidades ou loteamento, mas omite elementos relevantes: necessidade de ausência de arquivamento da incorporação, o marco temporal (alienação da primeira unidade/lote) e o prazo de 60 meses (36 meses para terrenos antigos). A resposta fica incompleta quanto ao início da tributação como pessoa jurídica.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA acerta o quantitativo de operações, mas omite a segunda parte da pergunta sobre o marco que determina o início da tributação (alienação antes de 60 meses).","{""id"": 6, ""score"": 3, ""raciocinio"": ""A resposta da IA acerta o quantitativo de operações, mas omite a segunda parte da pergunta sobre o marco que determina o início da tributação (alienação antes de 60 meses).""}",,2.0,0.4,INCORRETO,"A resposta da IA é excessivamente resumida e omite informações juridicamente relevantes: não menciona o prazo de 60 meses (ou 36 para terrenos até 30/6/1977), não especifica que a equiparação ocorre a partir da alienação da primeira unidade, e não diferencia entre incorporação irregular e loteamento. Essas omissões comprometem a compreensão completa da questão.","{""id"": 6, ""score"": 2, ""raciocinio"": ""A resposta da IA é excessivamente resumida e omite informações juridicamente relevantes: não menciona o prazo de 60 meses (ou 36 para terrenos até 30/6/1977), não especifica que a equiparação ocorre a partir da alienação da primeira unidade, e não diferencia entre incorporação irregular e loteamento. Essas omissões comprometem a compreensão completa da questão.""}",,2.6666666666666665,0.5333333333333333,INCORRETO,media_dos_scores_validos,"{""gpt"": 3.0, ""gemini"": 3.0, ""claude"": 2.0}","{""gpt"": ""PARCIALMENTE_CORRETO"", ""gemini"": ""PARCIALMENTE_CORRETO"", ""claude"": ""INCORRETO""}",0.5773502691896258
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Em caso de alteração das normas, a legislação que prevalecerá será aquela em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento. A alteração posterior das normas não atingirá as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.",z-ai_glm-5.1,prompt,4.0,0.8,CORRETO,"A IA mantém o núcleo: prevalece a legislação em vigor na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e alterações posteriores não atingem operações já realizadas nem empreendimentos com documentação arquivada. Apenas simplifica a redação, sem alterar o sentido jurídico.","{""id"": 7, ""score"": 4, ""raciocinio"": ""A IA mantém o núcleo: prevalece a legislação em vigor na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e alterações posteriores não atingem operações já realizadas nem empreendimentos com documentação arquivada. Apenas simplifica a redação, sem alterar o sentido jurídico.""}",,5.0,1.0,CORRETO,A resposta da IA está perfeitamente alinhada com a do especialista quanto à legislação aplicável em caso de alteração das normas.,"{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA está perfeitamente alinhada com a do especialista quanto à legislação aplicável em caso de alteração das normas.""}",,5.0,1.0,CORRETO,"A resposta da IA cobre adequadamente os pontos principais: a legislação aplicável é a da data do instrumento inicial ou do arquivamento, e alterações posteriores não atingem operações já realizadas. Alinha-se com a resposta especialista sem contradições relevantes.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre adequadamente os pontos principais: a legislação aplicável é a da data do instrumento inicial ou do arquivamento, e alterações posteriores não atingem operações já realizadas. Alinha-se com a resposta especialista sem contradições relevantes.""}",,4.666666666666667,0.9333333333333333,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias não pode ser mantido como lucros suspensos na escrituração. Esse lucro é considerado automaticamente distribuído no período de apuração, após a dedução da provisão para o imposto sobre a renda e da CSLL.",z-ai_glm-5.1,prompt,4.0,0.8,CORRETO,"A IA acerta o ponto central: o lucro não pode ser mantido como suspenso e é automaticamente distribuído no período de apuração, após a provisão para IRPJ. Contudo, acrescenta a CSLL, que não é mencionada pelo especialista e pode não ser aplicável nesse contexto específico, gerando leve imprecisão.","{""id"": 8, ""score"": 4, ""raciocinio"": ""A IA acerta o ponto central: o lucro não pode ser mantido como suspenso e é automaticamente distribuído no período de apuração, após a provisão para IRPJ. Contudo, acrescenta a CSLL, que não é mencionada pelo especialista e pode não ser aplicável nesse contexto específico, gerando leve imprecisão.""}",,5.0,1.0,CORRETO,A resposta da IA responde corretamente que o lucro não pode ser mantido suspenso e é automaticamente distribuído. A menção adicional à CSLL é correta e não altera o sentido jurídico.,"{""id"": 8, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente que o lucro não pode ser mantido suspenso e é automaticamente distribuído. A menção adicional à CSLL é correta e não altera o sentido jurídico.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA acerta que o lucro não pode ser mantido como lucros suspensos e que é automaticamente distribuído, mas adiciona menção à CSLL que não consta da resposta especialista (que menciona apenas IRPJ). Essa adição pode gerar confusão sobre o escopo da norma.","{""id"": 8, ""score"": 3, ""raciocinio"": ""A resposta da IA acerta que o lucro não pode ser mantido como lucros suspensos e que é automaticamente distribuído, mas adiciona menção à CSLL que não consta da resposta especialista (que menciona apenas IRPJ). Essa adição pode gerar confusão sobre o escopo da norma.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 3.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""PARCIALMENTE_CORRETO""}",1.0
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.",O término da equiparação é considerado ocorrido ao final do prazo de trinta e seis meses consecutivos sem a efetivação de qualquer empreendimento ou alienação.,z-ai_glm-5.1,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente o critério temporal de 36 meses consecutivos sem empreendimentos ou alienações para o término da equiparação. Apenas não menciona a ressalva sobre efeitos tributários das operações em andamento, o que não era diretamente perguntado.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente o critério temporal de 36 meses consecutivos sem empreendimentos ou alienações para o término da equiparação. Apenas não menciona a ressalva sobre efeitos tributários das operações em andamento, o que não era diretamente perguntado.""}",,4.0,0.8,CORRETO,"A resposta da IA está correta sobre o prazo de 36 meses, mas apresenta uma pequena omissão ao não mencionar a ressalva sobre os efeitos tributários das operações em andamento.","{""id"": 9, ""score"": 4, ""raciocinio"": ""A resposta da IA está correta sobre o prazo de 36 meses, mas apresenta uma pequena omissão ao não mencionar a ressalva sobre os efeitos tributários das operações em andamento.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA omite informação relevante sobre a ressalva quanto aos efeitos tributários das operações em andamento (art. 177, § 1º do RIR/2018). Além disso, não menciona que o prazo é de 36 meses consecutivos sem promover empreendimentos OU alienações, deixando a resposta incompleta.","{""id"": 9, ""score"": 3, ""raciocinio"": ""A resposta da IA omite informação relevante sobre a ressalva quanto aos efeitos tributários das operações em andamento (art. 177, § 1º do RIR/2018). Além disso, não menciona que o prazo é de 36 meses consecutivos sem promover empreendimentos OU alienações, deixando a resposta incompleta.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 4.0, ""claude"": 3.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""PARCIALMENTE_CORRETO""}",1.0
