rank_dificuldade,pergunta_norm,pergunta,resposta_oficial,n_modelos,n_correto,n_parcialmente_correto,n_incorreto,score_medio_0_5,score_min,score_max,desvio_medio_entre_julgadores,modelos_incorretos,modelos_parciais,modelos_corretos,taxa_erro,taxa_nao_correto
1,"a pessoa jurídica que explora atividade rural e que tenha utilizado o benefício fiscal da depreciação incentivada, ao mudar para o regime de tributação do lucro presumido ou arbitrado deve adicionar à base de cálculo do imposto de renda o saldo dessa depreciação?","A pessoa jurídica que explora atividade rural e que tenha utilizado o benefício  fiscal da depreciação incentivada, ao mudar para o regime de tributação do lucro  presumido ou arbitrado deve adicionar à base de cálculo do imposto de renda o  saldo dessa depreciação?","Não. A reversão da depreciação incentivada que deve ser adicionado ao lucro líquido para determinação do lucro real e controlada na Parte B do e-Lalur e na Parte B do e- Lacs, não é a decorrente de tributação diferida, uma vez que a adição se impõe em virtude de anular os efeitos decorrentes da depreciação normal consignada na escrituração comercial da pessoa jurídica rural. No regime de tributação do lucro presumido ou arbitrado, prescinde-se da escrita regular, e, em consequência, não há o aludido efeito de depreciação normal a ser compensado pela adição.",11,0,0,11,0.303030303030303,0.0,2.0,0.05248638810814779,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",,,1.0,1.0
2,como deve proceder o contribuinte que deixou de contabilizar ou contabilizou a menor o valor da provisão para o imposto sobre a renda?,Como deve proceder o contribuinte que deixou de contabilizar ou contabilizou  a menor o valor da provisão para o imposto sobre a renda?,"Deve, no curso do período de apuração seguinte, mediante lançamento de ajuste em contas próprias, com efeitos retroativos ao início do período de apuração, regularizar sua situação contábil pelo registro do valor da provisão (ou da diferença a menor apurada), a débito de conta do patrimônio líquido (prejuízos acumulados).",11,0,0,11,0.9696969696969696,0.3333333333333333,2.0,0.5632865838824211,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",,,1.0,1.0
3,como determinar o capital da empresa individual no caso de pessoa física equiparada por prática de operações imobiliárias?,Como determinar o capital da empresa individual no caso de pessoa física  equiparada por prática de operações imobiliárias?,"O capital da empresa individual, no início de cada período de apuração (trimestral ou anual), será representado pela soma dos valores dos imóveis constantes do seu ativo com os valores a receber relativos ao custo dos imóveis já vendidos em períodos de apuração anteriores.",11,0,0,11,1.0909090909090908,0.3333333333333333,1.6666666666666667,0.793061604941689,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",,,1.0,1.0
4,em quais hipóteses existe a possibilidade de apropriação de créditos presumidos da contribuição para o pis/pasep e da cofins relativos a selo de controle e equipamentos de controle de produção?,Em quais hipóteses existe a possibilidade de apropriação de créditos presumidos  da Contribuição para o PIS/Pasep e da Cofins relativos a selo de controle e  equipamentos de controle de produção?,"As pessoas jurídicas obrigadas pela RFB à utilização do selo de controle de que trata o art. 46 da Lei nº 4.502, de 30 de novembro de 1964; e dos equipamentos contadores de produção de que tratam os arts. 27 a 30 da Lei nº 11.488, de 2007, e o art. 58-T da Lei nº 10.833, de 2003, poderão deduzir da Contribuição para o PIS/PASEP ou da COFINS devidas em cada período de apuração, crédito presumido correspondente à taxa de que trata o art. 13 da Lei nº 12.995, de 2014, efetivamente paga no mesmo período",11,0,0,11,1.0909090909090908,0.0,2.6666666666666665,0.6112434231235072,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",,,1.0,1.0
5,"a pessoa jurídica optante pelo lucro presumido que mantiver escrituração regular e apurar lucro contábil poderá utilizá-lo como reserva livre para aumento de capital, sem ônus tributário (voltando ou não à tributação pelo lucro real)?","A pessoa jurídica optante pelo lucro presumido que mantiver escrituração  regular e apurar lucro contábil poderá utilizá-lo como reserva livre para aumento  de capital, sem ônus tributário (voltando ou não à tributação pelo lucro real)?","Na hipótese de apuração de lucro contábil, a pessoa jurídica poderá utilizar o montante desse lucro como reserva livre para aumento de capital. Entretanto, não poderá utilizar a esse título todo o montante do lucro contábil, devendo dele diminuir o valor do imposto de renda apurado com base no lucro presumido, inclusive adicional, o valor das contribuições (CSLL, Cofins e PIS/Pasep), bem assim os valores que forem distribuídos a título de lucros ao seu titular, sócio ou acionista.",11,0,1,10,1.787878787878788,0.3333333333333333,3.0,0.824844804205076,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",gpt-5.1,,0.9090909090909091,1.0
6,"em que momento deve ser tributado o lucro gerado por uma empresa estrangeira, classificada pela legislação brasileira como coligada ou porfólio de investimento sem influência nem relevância, cuja participação societária seja detida por uma por controlada direta ou indireta da controladora brasileira?","Em que momento deve ser tributado o lucro gerado por uma empresa  estrangeira, classificada pela legislação brasileira como coligada ou porfólio de  investimento sem influência nem relevância, cuja participação societária seja  detida por uma por controlada direta ou indireta da controladora brasileira?","Os lucros gerados por empresas tidas como coligadas das controladas diretas ou indiretas ou como participações em empresas de portfólio, detidas por controlada direta ou indireta domiciliadas no exterior, serão tributados pela controladora brasileira quando forem reconhecidos no balanço da controlada direta ou indireta, segundo a legislação comercial de sua jurisdição.",11,0,1,10,1.8787878787878787,0.6666666666666666,3.333333333333333,0.8455479930498367,"deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",claude-opus-4-6,,0.9090909090909091,1.0
7,"as disposições contidas na instrução normativa srf nº 11, de 10 de fevereiro de 1999, eram aplicadas somente às operações de incorporação, fusão e cisão, ocorridas até 31 de dezembro de 2017, cuja participação societária tenha sido adquirida até 31 de dezembro de 2014, desde que o processo de aquisição tenha sido iniciado até 31 de dezembro de 2014. neste sentido, o que pode ser entendido como início do processo de aquisição?","As disposições contidas na Instrução Normativa SRF nº 11, de 10 de fevereiro  de 1999, eram aplicadas somente às operações de incorporação, fusão e cisão,  ocorridas até 31 de dezembro de 2017, cuja participação societária tenha sido  adquirida até 31 de dezembro de 2014, desde que o processo de aquisição  tenha sido iniciado até 31 de dezembro de 2014. Neste sentido, o que pode ser  entendido como início do processo de aquisição?",O pedido de aprovação da aquisição junto ao órgão regulador ou fiscalizador deve ter sido protocolizado até 31 de dezembro de 2014.,11,0,2,9,1.2424242424242424,0.0,3.6666666666666665,0.8071252902488937,"claude-opus-4-6, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b","deepseek-ai_deepseek-v4-flash, z-ai_glm-5.1",,0.8181818181818182,1.0
8,o que poderá acontecer à pessoa jurídica que optar indevidamente ou deixar de cumprir alguma das condições estabelecidas para opção pelo lucro presumido?,O que poderá acontecer à pessoa jurídica que optar indevidamente ou deixar de  cumprir alguma das condições estabelecidas para opção pelo lucro presumido?,"Inicialmente será verificada a possibilidade de apuração da base de cálculo do imposto de renda pelo lucro real, caso a empresa mantenha escrituração regular com base nas leis comerciais e fiscais. Na impossibilidade de adoção de tal procedimento, deverá ser arbitrado o lucro da pessoa jurídica no respectivo período de apuração.",11,1,2,8,2.8787878787878785,2.333333333333333,4.0,0.524863881081478,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1","gemini-3-pro-preview, gpt-5.1",mistralai_mixtral-8x22b-instruct-v0.1,0.7272727272727273,0.9090909090909091
9,"o que é “despesa financeira” considerada nas contraprestações pagas ou creditadas, a que se refere o inciso i do art. 175 da in rfb nº 1.700, de 2017?","O que é “despesa financeira” considerada nas contraprestações pagas ou  creditadas, a que se refere o inciso I do art. 175 da IN RFB nº 1.700, de 2017?","São os encargos financeiros, incluindo-se os juros decorrentes do ajuste a valor presente.",11,0,4,7,2.6363636363636362,2.0,3.333333333333333,0.47237749297333026,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1","gpt-5.1, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct",,0.6363636363636364,1.0
10,quais os efeitos tributários no caso de a ecf retificadora apresentar valores a título de irpj e de csll diferentes daqueles inicialmente apresentados na ecf retificada?,Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.",11,2,2,7,2.090909090909091,0.0,4.333333333333333,0.5632865838824211,"deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1","mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b","claude-opus-4-6, gpt-5.1",0.6363636363636364,0.8181818181818182
