Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","As pessoas jurídicas que estão desobrigadas de apresentar a ECF são:

I - As pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional);

II - Os órgãos públicos, as autarquias e as fundações públicas;

III - As pessoas jurídicas inativas, ou seja, aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","No caso de a ECF retificadora apresentar valores a título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF retificada, os efeitos tributários serão ajustes nos valores devidos ou a receber, dependendo do caso. Se houver um saldo a favor do contribuinte, ele terá direito a restituição, reembolso ou compensação, acrescido de juros equivalentes à taxa referencial do Sistema Especial de Liquidação e de Custódia (Selic) para títulos federais, acumulados mensalmente, e de juros de 1% (um por cento) no mês em que a quantia for disponibilizada ao sujeito passivo."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção do IRPJ não depende de prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil, conforme estabelecido no Art. 192."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","As pessoas físicas são equiparadas às pessoas jurídicas nas seguintes hipóteses:

I - os empresários constituídos na forma estabelecida no art. 966 ao art. 969 da Lei nº 10.406, de 2002 - Código Civil;

II - as pessoas físicas que, em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços;

III - as pessoas físicas que promovam a incorporação de prédios em condomínio ou loteamento de terrenos, nos termos estabelecidos na Seção II deste Capítulo."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condôminos na propriedade de imóveis não são considerados pessoas jurídicas, mas sim empresas individuais, nos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é considerada a data em que for celebrado o contrato inicial da operação imobiliária correspondente, ainda que por meio de instrumento particular. No entanto, se a data constante de instrumento particular for favorável aos interesses da pessoa física, ela só será aceita pela autoridade fiscal se atender, no mínimo, uma das seguintes condições: I - houver sido o instrumento registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data dele constante; II - houver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento; III - houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; e IV - houver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","Para que uma pessoa física seja equiparada a uma pessoa jurídica, no que diz respeito à tributação como pessoa jurídica, é necessário que o proprietário ou titular de terrenos ou glebas de terra promova a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, sem efetuar o registro dos documentos de incorporação ou loteamento. Além disso, é preciso que inicie a alienação das unidades imobiliárias ou dos lotes de terreno antes de decorrido o prazo de sessenta meses, contado da data da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras do loteamento. A alienação será caracterizada pela existência de qualquer ajuste preliminar, ainda que de simples recebimento de importância a título de reserva."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","A alteração posterior das normas não atingirá as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário. Portanto, a legislação que deverá prevalecer é aquela que estava em vigor na data da realização das operações imobiliárias ou do arquivamento dos documentos."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica em razão de operações com imóveis não pode ser mantido como lucros suspensos na escrituração da pessoa jurídica. De acordo com a lei, esse lucro é considerado automaticamente distribuído no período de apuração, após a dedução da provisão para o imposto sobre a renda e da Contribuição Social sobre o Lucro Líquido - CSLL. Além disso, os lucros considerados automaticamente distribuídos, apurados a partir de 1º de janeiro de 1996, não ficarão sujeitos à incidência do imposto sobre a renda na fonte, nem integrarão a base de cálculo do imposto sobre a renda do titular da empresa individual."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre quando a pessoa física, após ser equiparada a uma pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações referidas no inciso I do artigo 173, durante o prazo de trinta e seis meses consecutivos. Portanto, se a pessoa jurídica não efetuar nenhuma alienação das unidades imobiliárias ou lotes de terreno durante esse período, a equiparação será encerrada a partir do término desse prazo."
"Qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da  empresa individual quando, completado o prazo de 36 (trinta e seis) meses  consecutivos sem promover incorporações ou loteamentos, ocorrer o término  da equiparação à pessoa jurídica?","Permanecerão no ativo da empresa individual, para efeito de tributação como lucro da pessoa jurídica: a) as unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, até sua alienação e, após esta, o saldo a receber, até o recebimento total do preço; b) o saldo a receber do preço dos imóveis então alienados, até seu recebimento total.","Os imóveis integrantes do ativo da empresa individual, após o término da equiparação à pessoa jurídica, devem ser alienados e o preço total deve ser recebido. A pessoa física poderá encerrar a empresa individual após o recebimento total do preço dos imóveis."
Como determinar o capital da empresa individual no caso de pessoa física  equiparada por prática de operações imobiliárias?,"O capital da empresa individual, no início de cada período de apuração (trimestral ou anual), será representado pela soma dos valores dos imóveis constantes do seu ativo com os valores a receber relativos ao custo dos imóveis já vendidos em períodos de apuração anteriores.","O capital da empresa individual, no caso de pessoa física equiparada por prática de operações imobiliárias, é determinado pelos recursos efetivamente investidos pela pessoa física titular da empresa individual nos imóveis referidos no § 6º do artigo em questão. Além disso, a correção monetária prevista no mesmo parágrafo também é considerada para a determinação do capital da empresa individual. Esses valores constituirão o capital da empresa individual no início de cada exercício, para fins de determinação da manutenção do capital de giro dedutível do lucro tributável."
