Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a Escrituração Contábil Fiscal (ECF) as seguintes pessoas jurídicas:

1. As optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional);
2. Os órgãos públicos, as autarquias e as fundações públicas;
3. As pessoas jurídicas inativas, consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Não sei a resposta, pois as informações fornecidas tratam exclusivamente dos juros incidentes sobre créditos tributários passíveis de restituição ou reembolso administrados pela RFB e não abordam os efeitos tributários decorrentes da apresentação de valores diferentes de IRPJ e CSLL em uma Declaração de Escrita Contábil (ECF) retificadora."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção de que trata a seção não depende de reconhecimento prévio."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica nas seguintes hipóteses:

1.  Empresários constituídos na forma estabelecida nos artigos 966 a 969 do Código Civil;
2.  Pessoas físicas que, em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços;
3.  Pessoas físicas que promovam a incorporação de prédios em condomínio ou loteamento de terrenos.

Esta equiparação não se aplica às pessoas físicas que exerçam profissões liberais (como médicos, engenheiros, advogados, etc.), ocupações não comerciais, atividades de agentes ou representantes sem vínculo empregatício, serventuários da justiça, corretores, leiloeiros, despachantes, exploração individual de contratos de empreitada de lavor, ou exploração de obras artísticas, didáticas e científicas, exceto quando não explorados diretamente pelo autor ou criador."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condôminos na propriedade de imóveis não são considerados sociedades em comum, nem equiparados a pessoas jurídicas. A legislação estabelece que, para cada condômino pessoa física, aplicam-se os critérios de caracterização da empresa individual, tratando-o como se fosse o único titular da operação imobiliária, nos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é considerada aquela em que for celebrado o contrato inicial da operação imobiliária correspondente, mesmo que por meio de instrumento particular.

No entanto, se a data constante de um instrumento particular for favorável aos interesses da pessoa física, ela só será aceita pela autoridade fiscal se for atendido, no mínimo, um dos seguintes requisitos:
1. O instrumento tenha sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data nele constante;
2. Haja conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
3. Haja conformidade com lançamentos contábeis da pessoa jurídica, observados os preceitos de escrituração em vigor;
4. Haja menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos.

Adicionalmente, o Ministro de Estado da Fazenda poderá estabelecer critérios adicionais para a aceitação da data do instrumento particular."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação da pessoa física à pessoa jurídica ocorre quando o proprietário ou titular de terrenos promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento e inicia a alienação dessas unidades ou lotes antes de decorrido o prazo de 60 meses (ou 36 meses, se os imóveis foram havidos até 30 de junho de 1977) da averbação da construção ou aceitação das obras. A alienação é caracterizada pela existência de qualquer ajuste preliminar, ainda que de simples recebimento de importância a título de reserva."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Prevalecerá a legislação vigente na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento, pois a alteração posterior das normas não atinge as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica em razão de operações com imóveis não pode ser mantido como lucros suspensos na escrituração. Ele é considerado automaticamente distribuído no período de apuração, após a dedução da provisão para o imposto sobre a renda e da Contribuição Social sobre o Lucro Líquido (CSLL). Além disso, esses lucros considerados automaticamente distribuídos não ficam sujeitos à incidência do imposto sobre a renda na fonte nem integram a base de cálculo do imposto sobre a renda do titular da empresa individual."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre após o decurso de trinta e seis meses consecutivos sem que a pessoa física promova empreendimentos ou efetue alienações, exceto quanto aos efeitos tributários das operações em andamento à época. No entanto, se houver unidades imobiliárias ou lotes de terrenos integrantes de incorporações ou loteamentos no ativo, a equiparação permanece vigente até a alienação dessas unidades e o recebimento total do preço."
