Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a ECF as seguintes pessoas jurídicas:

1.  As optantes pelo Simples Nacional;
2.  Os órgãos públicos, as autarquias e as fundações públicas;
3.  As pessoas jurídicas inativas, consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicações no mercado financeiro ou de capitais, durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Caso a alteração dos valores na ECF retificadora resulte em um crédito passível de restituição, reembolso ou compensação, o montante será acrescido de juros equivalentes à taxa Selic acumulada mensalmente. Além disso, serão aplicados juros de 1% no mês em que a quantia for disponibilizada ao sujeito passivo, no mês da entrega da declaração de compensação ou efetivação na GFIP, ou quando a compensação de ofício for considerada efetuada."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Em regra, a isenção não depende de reconhecimento prévio. No entanto, na hipótese prevista no art. 187, a isenção deve ser reconhecida pela Secretaria da Receita Federal do Brasil."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica quando caracterizada como empresa individual, o que ocorre nas seguintes hipóteses:

1.  Quando se constitui como empresário na forma estabelecida pelos artigos 966 a 969 do Código Civil;
2.  Quando explora, em nome individual, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com fim especulativo de lucro, por meio da venda de bens ou serviços a terceiros (excetuando-se o exercício individual de profissões intelectuais, artísticas, de corretagem, serventia de justiça e prestação de serviços sem caráter empresarial);
3.  Quando promove a incorporação de prédios em condomínio ou o loteamento de terrenos."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Sim, aos condôminos pessoas físicas aplicam-se os critérios de caracterização da empresa individual, nos limites de sua participação, como se fossem os únicos titulares da operação imobiliária."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","Considera-se como data de aquisição ou alienação aquela em que for celebrado o contrato inicial da operação imobiliária, ainda que realizado por meio de instrumento particular.

Para que a data constante de instrumento particular seja aceita pela autoridade fiscal, caso seja favorável aos interesses da pessoa física, deve ser atendida, no mínimo, uma das seguintes condições:

1.  O instrumento ter sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data nele constante;
2.  Haver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
3.  Haver conformidade com lançamentos contábeis da pessoa jurídica, respeitando os preceitos de escrituração em vigor;
4.  Haver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente junto com as declarações de rendimentos."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação ocorre quando o proprietário promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, iniciando a alienação (ou qualquer ajuste preliminar, como recebimento de reserva) antes de decorrido o prazo de sessenta meses contado da data da averbação da construção ou da aceitação das obras."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Em caso de alteração posterior das normas, deverá prevalecer a legislação que estava em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento. As novas normas não atingem as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado não pode ser mantido como lucros suspensos na escrituração, pois é considerado automaticamente distribuído no período de apuração após a dedução da provisão para o imposto sobre a renda e da Contribuição Social sobre o Lucro Líquido (CSLL)."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.",O término da equiparação é considerado ocorrido a partir do final do prazo de trinta e seis meses consecutivos sem a promoção de empreendimentos ou a efetivação de alienações.
