Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a presentar a ECF:

I - as pessoas jurídicas optantes pelo Simples Nacional;
II - os órgãos públicos, as autarquias e as fundações públicas;
III - as pessoas jurídicas inativas, definidas como aquelas que não realizaram qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Não é possível responder a essa pergunta com as informações fornecidas, pois o texto trata exclusivamente da atualização de créditos tributários administrados pela RFB via taxa Selic e não menciona a ECF (Escrituração Contábil Fiscal) ou os efeitos de retificações de IRPJ e CSLL."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Em regra, as isenções independem de reconhecimento prévio. No entanto, na hipótese prevista no art. 187, a isenção deverá ser reconhecida pela Secretaria da Receita Federal do Brasil do Ministério da Fazenda."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica quando se enquadra como empresa individual, o que ocorre nas seguintes hipóteses:

1. Empresários constituídos conforme a forma estabelecida nos artigos 966 ao 969 da Lei nº 10.406/2002 (Código Civil).
2. Pessoas físicas que, em nome individual, explorem habitual e profissionalmente qualquer atividade econômica de natureza civil ou comercial, com o objetivo de lucro, através da venda de bens ou serviços a terceiros.
3. Pessoas físicas que promovam o loteamento de terrenos ou a incorporação de prédios em condomínio.

Ressalte-se que a equiparação não se aplica a profissionais liberais (como médicos, engenheiros, advogados, entre outros), prestadores de serviços não comerciais, agentes e representantes que não atuem por conta própria, serventuários da Justiça, corretores, leiloeiros, despachantes, bem como a quem explore individualmente contratos de empreitada unicamente de lavor ou obras artísticas, didáticas, científicas e projetos técnicos (desde que explorados diretamente pelo autor ou criador)."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condomínios na propriedade de imóveis não são considerados sociedades em comum, mesmo que pessoas jurídicas façam parte deles. No entanto, para cada condômino pessoa física, aplicam-se os critérios de caracterização de empresa individual e demais dispositivos legais como se ele fosse o único titular da operação imobiliária, nos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é aquela em que foi celebrado o contrato inicial da operação imobiliária, mesmo que por instrumento particular.

Para que a data constante de um instrumento particular seja aceita pela autoridade fiscal (quando favorável aos interesses da pessoa física), deve ser atendida ao menos uma das seguintes condições:

I - O instrumento ter sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos em até trinta dias da data do documento;
II - Haver conformidade com cheque nominativo pago em até trinta dias da data do instrumento;
III - Haver conformidade com lançamentos contábeis de pessoa jurídica, seguindo as normas de escrituração vigentes;
IV - Haver menção expressa à operação nas declarações de bens da parte interessada, entregues tempestivamente à repartição competente junto às declarações de rendimentos."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","Para a equiparação à pessoa jurídica, é necessária a construção de um prédio com mais de duas unidades imobiliárias ou a execução de loteamento, desde que a alienação dessas unidades ou lotes ocorra antes de decorrido o prazo de sessenta meses (ou trinta e seis meses para imóveis havidos até 30 de junho de 1977) contado da data da averbação da construção ou aceitação das obras no Registro Imobiliário, sem que tenham sido efetuados os registros de incorporação ou loteamento."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Deverão prevalecer as normas legais e regulamentares que estavam em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento, pois alterações posteriores não atingem operações imobiliárias já realizadas nem empreendimentos com documentação já arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, não. O lucro apurado por pessoa física equiparada a empresa individual em razão de operações imobiliárias é considerado automaticamente distribuído no período de apuração, após a dedução da provisão para o imposto sobre a renda e da CSLL."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.",A equiparação deixa de ser considerada após o prazo de trinta e seis meses consecutivos em que a pessoa física não promova nenhum dos empreendimentos nem efetue nenhuma das alienações referidas no inciso I do caput do art. 173.
"Qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da  empresa individual quando, completado o prazo de 36 (trinta e seis) meses  consecutivos sem promover incorporações ou loteamentos, ocorrer o término  da equiparação à pessoa jurídica?","Permanecerão no ativo da empresa individual, para efeito de tributação como lucro da pessoa jurídica: a) as unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, até sua alienação e, após esta, o saldo a receber, até o recebimento total do preço; b) o saldo a receber do preço dos imóveis então alienados, até seu recebimento total.","As unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, bem como o saldo a receber de imóveis já alienados, permanecerão no ativo da empresa individual até a sua alienação e o recebimento total do preço."
Como determinar o capital da empresa individual no caso de pessoa física  equiparada por prática de operações imobiliárias?,"O capital da empresa individual, no início de cada período de apuração (trimestral ou anual), será representado pela soma dos valores dos imóveis constantes do seu ativo com os valores a receber relativos ao custo dos imóveis já vendidos em períodos de apuração anteriores.","O capital da empresa individual, no início de cada exercício, é constituído pelos recursos efetivamente investidos pela pessoa física titular nos imóveis (custo do terreno, glebas de terra, construções e benfeitorias), incluindo a correção monetária baseada na variação do valor das Obrigações Reajustáveis do Tesouro Nacional, calculada desde a época de cada pagamento até a data da equiparação sobre a quantia efetivamente desembolsada."
O que é cisão de uma sociedade?,"A cisão é a operação pela qual a sociedade transfere todo ou somente uma parcela do seu patrimônio para uma ou mais sociedades, constituídas para esse fim ou já existentes, extinguindo-se a sociedade cindida, se houver versão de todo o seu patrimônio, ou dividindo-se o seu capital, se parcial a versão.","A cisão é a operação pela qual uma companhia transfere parcelas do seu patrimônio para uma ou mais sociedades, que podem ser já existentes ou constituídas especificamente para esse fim. Se todo o patrimônio for transferido, a companhia cindida é extinta; se a transferência for apenas de parte do patrimônio, ocorre a divisão do seu capital."
Como proceder com relação à sociedade cindida?,"Efetivada a cisão com extinção da sociedade cindida, caberá aos administradores das sociedades que tiverem absorvido parcelas do seu patrimônio promover o arquivamento e a publicação dos atos da operação. Na cisão com versão parcial do patrimônio esta obrigação caberá aos administradores da companhia cindida e da que absorver parcela do seu patrimônio.","O procedimento em relação à sociedade cindida depende da extensão da transferência de seu patrimônio:

1. **Extinção da companhia**: Se houver a versão de todo o seu patrimônio, a companhia cindida será extinta. Nesse caso, cabe aos administradores das sociedades que absorveram as parcelas do patrimônio promover o arquivamento e a publicação dos atos da operação.
2. **Divisão do capital**: Se a versão do patrimônio for parcial, a companhia cindida permanece existindo, ocorrendo a divisão do seu capital. Nessa situação, o dever de promover o arquivamento e a publicação dos atos da operação cabe tanto aos administradores da companhia cindida quanto aos da sociedade que absorveu a parcela do patrimônio.

Além disso, se a cisão envolver a versão de parcela do patrimônio para uma sociedade nova, a operação deve ser deliberada pela assembleia-geral da companhia com base em uma justificação (contendo as informações do artigo 224), e a assembleia, se aprovar, nomeará os peritos para avaliar a parcela a ser transferida."
Quais são os contribuintes do imposto de renda da pessoa jurídica?,"São contribuintes e, portanto, estão sujeitas ao pagamento do imposto de renda da pessoa jurídica as pessoas jurídicas e as pessoas físicas a elas equiparadas, domiciliadas no País.","Os contribuintes do imposto sobre a renda são:

I - As pessoas jurídicas;
II - As empresas individuais.

Além disso, estão sujeitos à tributação:
- Unidades econômicas ou profissionais, independentemente de a pessoa jurídica estar regularmente constituída;
- Entidades em regime de liquidação extrajudicial ou de falência (em relação às operações praticadas durante tais procedimentos);
- Empresas públicas, sociedades de economia mista e suas subsidiárias;
- Sociedades cooperativas de consumo que compram e fornecem bens aos consumidores;
- Fundos de investimento imobiliário, nas condições previstas no art. 831."
O que são “despesas incorridas”?,"Despesas incorridas são aquelas de competência do período de apuração, relativas a bens empregados ou a serviços consumidos nas transações ou operações exigidas pela atividade da empresa, tenham sido pagas ou não. De acordo com o PN CST nº 58, de 1977, a obrigação de pagar determinada despesa (enquadrável como operacional) nasce quando, em face da relação jurídica que lhe deu causa, já se verificaram todos os pressupostos materiais que a tornaram incondicional, vale dizer, exigível independentemente de qualquer prestação por parte do respectivo credor. Despesas incorridas são, portanto, aquelas decorrentes de bens empregados ou de serviços consumidos nas transações ou operações exigidas pela atividade da empresa, em relação às quais já tenha nascido a obrigação correspondente, ainda que o respectivo pagamento venha a ocorrer em período subsequente.","Despesas incorridas são aquelas em que, embora a obrigação de pagamento já tenha nascido, o momento ajustado para o pagamento, o seu vencimento ou outra circunstância determinam que o respectivo pagamento ocorra em exercício subsequente. Elas são obrigatoriamente computadas da mesma forma que as despesas pagas."
Quais são os gastos com a implantação de uma indústria que deverão ser  considerados como “despesas pré-operacionais”?,"Todas as despesas necessárias à organização e implantação ou ampliação de empresas, inclusive aquelas de cunho administrativo, pagas ou incorridas até o início de suas operações ou plena utilização das instalações, são pré-operacionais ou pré-industriais. A empresa deverá imobilizar as aquisições de bens e direitos, classificáveis no ativo permanente, e lançar em despesas pré-operacionais as despesas, respeitando, sempre, as condições gerais de dedutibilidade e os limites estabelecidos pela legislação tributária, já que estes limites são válidos tanto para as despesas operacionais quanto para as pré-operacionais.","As despesas pré-operacionais compreendem os dispêndios de organização necessários e anteriores ao começo das atividades da empresa, bem como aqueles posteriormente exigidos na expansão de empreendimentos industriais. Isso inclui despesas de natureza administrativa e de organização, idênticas às despesas operacionais, mas que ocorrem no momento anterior ao início da operação."
Como as empresas não imobiliárias devem classificar a conta representativa de  “construções em andamento”?,"Para as empresas que não explorem a atividade imobiliária, as aplicações que representem construções em andamento devem ser classificadas em conta do ativo permanente (imobilizado). No caso de empreendimento que envolva a construção de bens de naturezas diversas, a empresa deverá fazer a distribuição contábil dos acréscimos de maneira a permitir, ao término da construção, a correta identificação de cada bem, segundo sua natureza e as taxas anuais de depreciação a eles aplicáveis.","As aplicações em ""construções em andamento"" devem ser classificadas no ativo imobilizado."
Como deverão ser tratados os reajustes posteriores à época do recebimento do  bem adquirido por meio de consórcio?,"As variações do saldo devedor que ocorrerem no futuro, decorrentes da modificação no valor das prestações, serão refletidas nas contas que registram a obrigação, sendo sua contrapartida considerada como variação monetária passiva (ou ativa).","As variações do saldo devedor que ocorrerem no futuro, decorrentes da modificação no valor das prestações, deverão ser refletidas na conta que registra a obrigação e tratadas como variação monetária ativa ou passiva, conforme o caso."
"Quando devem ser baixados os bens obsoletos, constantes do Ativo Imobilizado  da pessoa jurídica?","Quaisquer bens constantes do ativo imobilizado da pessoa jurídica, quer estejam totalmente depreciados ou não, somente podem ser baixados da contabilidade e do controle patrimonial concomitantemente à efetiva baixa física do bem.","A baixa contábil dos bens deve ocorrer de forma concomitante à baixa física do bem, ou seja, no momento de sua efetiva saída do patrimônio da empresa."
"Quais as alíquotas aplicáveis sobre o lucro, para determinar o imposto de renda  devido pela pessoa jurídica em cada período de apuração?","A partir do ano-calendário de 1996, as pessoas jurídicas, independentemente da forma de constituição e da natureza da atividade exercida, passaram a pagar o imposto de renda à alíquota de quinze por cento, incidente sobre a base de cálculo apurada na forma do lucro real, presumido ou arbitrado.","A alíquota do imposto de renda das pessoas jurídicas é de 15%. Adicionalmente, a parcela do lucro real, presumido ou arbitrado que exceder o valor de R$ 20.000,00 multiplicado pelo número de meses do período de apuração está sujeita a um adicional de 10%."
