Q,A,A_model,modelo_avaliado,prompt_version,gpt_judge_score_0_5,gpt_judge_score_normalizado,gpt_judge_categoria,gpt_judge_raciocinio,gpt_judge_raw,gpt_judge_erro,gemini_judge_score_0_5,gemini_judge_score_normalizado,gemini_judge_categoria,gemini_judge_raciocinio,gemini_judge_raw,gemini_judge_erro,claude_judge_score_0_5,claude_judge_score_normalizado,claude_judge_categoria,claude_judge_raciocinio,claude_judge_raw,claude_judge_erro,score_oficial_0_5,score_oficial_normalizado,resultado_oficial,regra_decisao,scores_julgadores,categorias_julgadores,desvio_score_entre_julgadores
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a Escrituração Contábil Fiscal (ECF):

1. As pessoas jurídicas optantes pelo Simples Nacional (Regime Especial Unificado de Arrecadação de Tributos e Contribuições das Microempresas e Empresas de Pequeno Porte);
2. Os órgãos públicos, as autarquias e as fundações públicas;
3. As pessoas jurídicas inativas, ou seja, aquelas que não realizaram nenhuma atividade operacional, não operacional, patrimonial ou financeira – inclusive aplicação no mercado financeiro ou de capitais – durante todo o ano‑calendário.",openai_gpt-oss-120b,prompt,5.0,1.0,CORRETO,"A resposta da IA reproduz corretamente as três hipóteses de desobrigação (Simples Nacional, órgãos/autarquias/fundações públicas e pessoas jurídicas inativas) com o mesmo conteúdo jurídico, sem contradições ou omissões relevantes.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA reproduz corretamente as três hipóteses de desobrigação (Simples Nacional, órgãos/autarquias/fundações públicas e pessoas jurídicas inativas) com o mesmo conteúdo jurídico, sem contradições ou omissões relevantes.""}",,5.0,1.0,CORRETO,"A resposta da IA está totalmente alinhada com a do especialista, listando corretamente as três hipóteses de desobrigação da ECF.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA está totalmente alinhada com a do especialista, listando corretamente as três hipóteses de desobrigação da ECF.""}",,5.0,1.0,CORRETO,"A resposta da IA cobre todas as três hipóteses de desobrigação de apresentar ECF de forma clara e precisa, sem contradições com a resposta especialista. A formatação em lista facilita a compreensão sem prejudicar o conteúdo jurídico.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre todas as três hipóteses de desobrigação de apresentar ECF de forma clara e precisa, sem contradições com a resposta especialista. A formatação em lista facilita a compreensão sem prejudicar o conteúdo jurídico.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Quando a Escrituração Contábil Fiscal (ECF) é retificada e os valores declarados a título de IRPJ e CSLL são diferentes dos que constavam na ECF original, a diferença passa a gerar um novo crédito ou débito tributário.  

- **Se a retificação resultar em aumento do IRPJ ou da CSLL** – o contribuinte passa a ter um débito adicional. Esse valor deverá ser pago ao fisco, e o pagamento será acrescido de juros equivalentes à taxa Selic acumulada mensalmente, mais 1 % no mês em que o pagamento for efetuado.  

- **Se a retificação resultar em redução do IRPJ ou da CSLL** – o contribuinte terá um crédito tributário. Esse crédito será restituído, reembolsado ou compensado, também acrescido dos juros de Selic acumulados mensalmente e de 1 % no mês em que a restituição for disponibilizada (ou no mês da efetivação da compensação).  

Portanto, a retificação da ECF altera o montante devido ou a ser restituído, e qualquer diferença será tratada com a incidência dos juros previstos no art. 148 da Lei, conforme a data de disponibilização ou de pagamento do crédito ou débito.",openai_gpt-oss-120b,prompt,2.0,0.4,INCORRETO,"A resposta da IA acerta a lógica básica: se o imposto aumenta, há débito a pagar; se diminui, há crédito a restituir/compensar com SELIC + 1%. Porém, atribui SELIC + 1% também ao caso de imposto maior (débito), o que não consta na resposta do especialista e é juridicamente problemático, além de mencionar genericamente art. 148 sem base no enunciado.","{""id"": 1, ""score"": 2, ""raciocinio"": ""A resposta da IA acerta a lógica básica: se o imposto aumenta, há débito a pagar; se diminui, há crédito a restituir/compensar com SELIC + 1%. Porém, atribui SELIC + 1% também ao caso de imposto maior (débito), o que não consta na resposta do especialista e é juridicamente problemático, além de mencionar genericamente art. 148 sem base no enunciado.""}",,4.0,0.8,CORRETO,"A resposta da IA está correta e detalha bem os efeitos, mas omite a condição 'desde que paga' para a restituição ou compensação do imposto menor, o que é uma pequena omissão.","{""id"": 1, ""score"": 4, ""raciocinio"": ""A resposta da IA está correta e detalha bem os efeitos, mas omite a condição 'desde que paga' para a restituição ou compensação do imposto menor, o que é uma pequena omissão.""}",,4.0,0.8,CORRETO,"A resposta da IA está correta e cobre os pontos essenciais (aumento gera débito com acréscimos, redução gera crédito com juros Selic + 1%). Porém, adiciona informações genéricas sobre 'outros procedimentos fiscais' que não constam da resposta especialista e não são necessárias para responder à questão.","{""id"": 1, ""score"": 4, ""raciocinio"": ""A resposta da IA está correta e cobre os pontos essenciais (aumento gera débito com acréscimos, redução gera crédito com juros Selic + 1%). Porém, adiciona informações genéricas sobre 'outros procedimentos fiscais' que não constam da resposta especialista e não são necessárias para responder à questão.""}",,3.3333333333333335,0.6666666666666667,PARCIALMENTE_CORRETO,media_dos_scores_validos,"{""gpt"": 2.0, ""gemini"": 4.0, ""claude"": 4.0}","{""gpt"": ""INCORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",1.1547005383792515
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não. As isenções previstas nesta Seção são independentes de reconhecimento prévio pela Secretaria Especial da Receita Federal do Brasil, salvo na hipótese específica prevista no art. 187, em que a isenção será reconhecida pela própria Secretaria.",openai_gpt-oss-120b,prompt,4.0,0.8,CORRETO,"A IA responde corretamente que a isenção não depende de reconhecimento prévio, alinhando-se ao especialista. Acrescenta uma exceção (art. 187) não mencionada pelo especialista; embora possa ser verdadeira, é informação extra não necessária, mas não contraditória.","{""id"": 2, ""score"": 4, ""raciocinio"": ""A IA responde corretamente que a isenção não depende de reconhecimento prévio, alinhando-se ao especialista. Acrescenta uma exceção (art. 187) não mencionada pelo especialista; embora possa ser verdadeira, é informação extra não necessária, mas não contraditória.""}",,5.0,1.0,CORRETO,"A resposta da IA responde corretamente à pergunta e adiciona uma exceção válida (isenções que dependem de ato declaratório, como SUDENE/SUDAM), sem contradizer a regra geral apresentada pelo especialista.","{""id"": 2, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente à pergunta e adiciona uma exceção válida (isenções que dependem de ato declaratório, como SUDENE/SUDAM), sem contradizer a regra geral apresentada pelo especialista.""}",,2.0,0.4,INCORRETO,"A resposta da IA começa corretamente afirmando que não há dependência de reconhecimento prévio, mas adiciona uma ressalva sobre o art. 187 que não aparece na resposta especialista. Essa informação adicional cria confusão jurídica ao sugerir uma exceção não mencionada pelo especialista, prejudicando a clareza da resposta.","{""id"": 2, ""score"": 2, ""raciocinio"": ""A resposta da IA começa corretamente afirmando que não há dependência de reconhecimento prévio, mas adiciona uma ressalva sobre o art. 187 que não aparece na resposta especialista. Essa informação adicional cria confusão jurídica ao sugerir uma exceção não mencionada pelo especialista, prejudicando a clareza da resposta.""}",,3.6666666666666665,0.7333333333333333,PARCIALMENTE_CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 2.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""INCORRETO""}",1.5275252316519465
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica quando atua como **empresa individual**, nas seguintes hipóteses:

1. **Empresário individual** – pessoa física que se constitui como empresário nos termos dos arts. 966 a 969 do Código Civil (Lei n.º 10.406/2002).

2. **Exploração de atividade econômica** – pessoa física que, em nome próprio, exerce habitualmente e profissionalmente atividade econômica de natureza civil ou comercial, com finalidade lucrativa, mediante a venda a terceiros de bens ou serviços (art. 41, § 1º, “b”, da Lei n.º 4.506/1964 e art. 27, § 1º da DL n.º 5.844/1943).  
   *Essa hipótese **não se aplica** às pessoas físicas que exercem, individualmente, as profissões ou atividades listadas nos incisos I a VII do § 2º do art. 162 (ex.: médicos, advogados, engenheiros, professores, jornalistas, corretores, leiloeiros, agentes de comércio sem vínculo empregatício, serventuários da justiça, etc.).*

3. **Incorporação de prédios em condomínio ou loteamento** – pessoa física que promove a incorporação de edifícios em condomínio ou o loteamento de terrenos, conforme a Seção II do Capítulo (DL n.º 1.381/1974, arts. 1º e 3º, caput, inciso III).  

Em qualquer uma dessas três situações a pessoa física passa a ser tratada, para fins legais, como pessoa jurídica.",openai_gpt-oss-120b,prompt,4.0,0.8,CORRETO,"A IA contempla as duas hipóteses centrais do especialista: exploração habitual e profissional de atividade econômica com fim lucrativo e incorporação/loteamento. Acrescenta referências normativas e exclusões de profissionais liberais, o que não contraria o especialista, mas torna a resposta mais extensa e um pouco menos objetiva do que o necessário.","{""id"": 3, ""score"": 4, ""raciocinio"": ""A IA contempla as duas hipóteses centrais do especialista: exploração habitual e profissional de atividade econômica com fim lucrativo e incorporação/loteamento. Acrescenta referências normativas e exclusões de profissionais liberais, o que não contraria o especialista, mas torna a resposta mais extensa e um pouco menos objetiva do que o necessário.""}",,5.0,1.0,CORRETO,"A resposta da IA abrange as hipóteses trazidas pelo especialista (exploração de atividade econômica e incorporação/loteamento) e adiciona a figura do empresário individual, o que está correto e complementa a resposta sem contradições.","{""id"": 3, ""score"": 5, ""raciocinio"": ""A resposta da IA abrange as hipóteses trazidas pelo especialista (exploração de atividade econômica e incorporação/loteamento) e adiciona a figura do empresário individual, o que está correto e complementa a resposta sem contradições.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA fornece informações adicionais detalhadas (referências legais, exclusões de profissionais liberais) que não constam da resposta especialista. Embora possam estar corretas, essas informações extras tornam a resposta menos objetiva e podem gerar confusão sobre o que é essencial para responder à questão principal.","{""id"": 3, ""score"": 3, ""raciocinio"": ""A resposta da IA fornece informações adicionais detalhadas (referências legais, exclusões de profissionais liberais) que não constam da resposta especialista. Embora possam estar corretas, essas informações extras tornam a resposta menos objetiva e podem gerar confusão sobre o que é essencial para responder à questão principal.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 3.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""PARCIALMENTE_CORRETO""}",1.0
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não. Os condomínios na propriedade de imóveis não são equiparados a pessoa jurídica; cada condômino pessoa física é tratado individualmente, como se fosse titular único da operação imobiliária, dentro dos limites da sua participação.",openai_gpt-oss-120b,prompt,4.0,0.8,CORRETO,"A IA responde que o condomínio não é equiparado a pessoa jurídica e que cada condômino é tratado individualmente, o que está alinhado ao núcleo da resposta do especialista. Apenas não detalha os critérios de empresa individual, mas isso não compromete a resposta à pergunta formulada.","{""id"": 4, ""score"": 4, ""raciocinio"": ""A IA responde que o condomínio não é equiparado a pessoa jurídica e que cada condômino é tratado individualmente, o que está alinhado ao núcleo da resposta do especialista. Apenas não detalha os critérios de empresa individual, mas isso não compromete a resposta à pergunta formulada.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A IA inicia a resposta com 'Não', o que pode gerar confusão, pois os condôminos podem sim ser equiparados a pessoa jurídica se preencherem os requisitos individualmente, conforme a própria IA explica na sequência.","{""id"": 4, ""score"": 3, ""raciocinio"": ""A IA inicia a resposta com 'Não', o que pode gerar confusão, pois os condôminos podem sim ser equiparados a pessoa jurídica se preencherem os requisitos individualmente, conforme a própria IA explica na sequência.""}",,5.0,1.0,CORRETO,"A resposta da IA sintetiza corretamente a informação especialista, mantendo o ponto jurídico central: condomínios não são equiparados, cada condômino é tratado individualmente. A resposta é clara, precisa e sem contradições.","{""id"": 4, ""score"": 5, ""raciocinio"": ""A resposta da IA sintetiza corretamente a informação especialista, mantendo o ponto jurídico central: condomínios não são equiparados, cada condômino é tratado individualmente. A resposta é clara, precisa e sem contradições.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 3.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""PARCIALMENTE_CORRETO"", ""claude"": ""CORRETO""}",1.0
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data considerada para a aquisição ou alienação é a data em que se celebra o contrato inicial da operação imobiliária, ainda que o contrato seja um instrumento particular.

Para que essa data seja aceita pela autoridade fiscal, é preciso que seja cumprida, no mínimo, uma das seguintes condições:

1. O instrumento seja registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de 30 dias contados da data nele constante;  
2. Seja apresentado um cheque nominativo relativo à operação, pago no prazo de 30 dias contados da data do instrumento;  
3. Os lançamentos contábeis da pessoa jurídica estejam em conformidade com os preceitos de escrituração vigentes;  
4. Haja menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos.

O Ministro de Estado da Fazenda pode ainda estabelecer critérios adicionais para a aceitação da data do instrumento particular.",openai_gpt-oss-120b,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente a data relevante (contrato inicial, ainda que particular) e as quatro condições alternativas para aceitação dessa data, em perfeita consonância com o especialista. A menção a possível critério adicional do Ministro da Fazenda é informação extra que não altera o sentido jurídico principal.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente a data relevante (contrato inicial, ainda que particular) e as quatro condições alternativas para aceitação dessa data, em perfeita consonância com o especialista. A menção a possível critério adicional do Ministro da Fazenda é informação extra que não altera o sentido jurídico principal.""}",,5.0,1.0,CORRETO,"A resposta da IA contém exatamente as mesmas informações da resposta do especialista, listando a data correta e todas as condições de aceitação do instrumento particular.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A resposta da IA contém exatamente as mesmas informações da resposta do especialista, listando a data correta e todas as condições de aceitação do instrumento particular.""}",,4.0,0.8,CORRETO,"A resposta da IA cobre corretamente as quatro condições para aceitação da data do instrumento particular. Porém, adiciona menção ao 'Ministro de Estado da Fazenda' e 'critérios adicionais' que não constam da resposta especialista, gerando informação desnecessária.","{""id"": 5, ""score"": 4, ""raciocinio"": ""A resposta da IA cobre corretamente as quatro condições para aceitação da data do instrumento particular. Porém, adiciona menção ao 'Ministro de Estado da Fazenda' e 'critérios adicionais' que não constam da resposta especialista, gerando informação desnecessária.""}",,4.666666666666667,0.9333333333333333,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A pessoa física será equiparada à pessoa jurídica quando, sem registrar a incorporação ou o loteamento, construir um prédio com **mais de duas unidades imobiliárias** (ou executar um loteamento) e iniciar a alienação dessas unidades antes de expirado o prazo legal. Assim, o quantitativo mínimo exigido para a equiparação é a existência de **três ou mais unidades imobiliárias** no empreendimento.",openai_gpt-oss-120b,prompt,3.0,0.6,PARCIALMENTE_CORRETO,"A IA acerta o ponto do quantitativo mínimo (mais de duas unidades, isto é, três ou mais) e a exigência de ausência de registro da incorporação/loteamento, mas omite elementos relevantes da resposta do especialista: o marco temporal de início da tributação (a partir da alienação da primeira unidade/lote) e o prazo de 60 meses (36 meses para terrenos antigos). Essa omissão é juridicamente relevante para o início da tributação.","{""id"": 6, ""score"": 3, ""raciocinio"": ""A IA acerta o ponto do quantitativo mínimo (mais de duas unidades, isto é, três ou mais) e a exigência de ausência de registro da incorporação/loteamento, mas omite elementos relevantes da resposta do especialista: o marco temporal de início da tributação (a partir da alienação da primeira unidade/lote) e o prazo de 60 meses (36 meses para terrenos antigos). Essa omissão é juridicamente relevante para o início da tributação.""}",,5.0,1.0,CORRETO,"A IA responde corretamente que o quantitativo é de mais de duas unidades (ou seja, três ou mais), alinhando-se perfeitamente à resposta do especialista.","{""id"": 6, ""score"": 5, ""raciocinio"": ""A IA responde corretamente que o quantitativo é de mais de duas unidades (ou seja, três ou mais), alinhando-se perfeitamente à resposta do especialista.""}",,4.0,0.8,CORRETO,"A resposta da IA identifica corretamente o quantitativo mínimo (mais de 2 unidades = 3 ou mais) e menciona o prazo de 60 meses. Porém, omite a informação sobre o prazo diferenciado de 36 meses para terrenos adquiridos até 30 de junho de 1977, que é relevante para a completude da resposta.","{""id"": 6, ""score"": 4, ""raciocinio"": ""A resposta da IA identifica corretamente o quantitativo mínimo (mais de 2 unidades = 3 ou mais) e menciona o prazo de 60 meses. Porém, omite a informação sobre o prazo diferenciado de 36 meses para terrenos adquiridos até 30 de junho de 1977, que é relevante para a completude da resposta.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 3.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""PARCIALMENTE_CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",1.0
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Deve prevalecer a legislação que estava em vigor na data da operação imobiliária — ou seja, as normas vigentes no momento do instrumento inicial de alienação, do arquivamento dos documentos da incorporação ou do loteamento. Alterações posteriores dessas normas não retroagem para atingir as operações já realizadas ou os empreendimentos já arquivados no Registro Imobiliário.",openai_gpt-oss-120b,prompt,5.0,1.0,CORRETO,"A IA mantém o critério temporal correto: prevalece a legislação vigente na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e alterações posteriores não retroagem para operações já realizadas ou empreendimentos já arquivados. Está alinhada ao especialista, sem contradições.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A IA mantém o critério temporal correto: prevalece a legislação vigente na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e alterações posteriores não retroagem para operações já realizadas ou empreendimentos já arquivados. Está alinhada ao especialista, sem contradições.""}",,5.0,1.0,CORRETO,"A resposta da IA reflete com exatidão a resposta do especialista, indicando que prevalece a legislação vigente na data do instrumento inicial ou do arquivamento, sem retroatividade.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA reflete com exatidão a resposta do especialista, indicando que prevalece a legislação vigente na data do instrumento inicial ou do arquivamento, sem retroatividade.""}",,5.0,1.0,CORRETO,A resposta da IA reproduz corretamente o princípio da legislação vigente na data da operação e a não retroatividade de alterações posteriores. Está alinhada com a resposta especialista sem contradições ou omissões relevantes.,"{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA reproduz corretamente o princípio da legislação vigente na data da operação e a não retroatividade de alterações posteriores. Está alinhada com a resposta especialista sem contradições ou omissões relevantes.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não. O lucro apurado pela pessoa física equiparada a empresa individual em operações imobiliárias é considerado “automaticamente distribuído” no próprio período de apuração, após a dedução da provisão para o IR e a CSLL. Por ser tratado como distribuição, ele não pode permanecer como lucros suspensos na escrituração da pessoa jurídica; deve ser reconhecido como lucro distribuído e, portanto, não integra a base de cálculo do IR do titular nem está sujeito à retenção na fonte.",openai_gpt-oss-120b,prompt,3.0,0.6,PARCIALMENTE_CORRETO,"A IA acerta o essencial: o lucro não pode ser mantido como lucros suspensos e é considerado automaticamente distribuído no período de apuração após a provisão para IR. Contudo, acrescenta que não integra a base de cálculo do IR do titular nem está sujeito à retenção na fonte, ponto não tratado pelo especialista e potencialmente controverso, o que torna a resposta juridicamente problemática em parte.","{""id"": 8, ""score"": 3, ""raciocinio"": ""A IA acerta o essencial: o lucro não pode ser mantido como lucros suspensos e é considerado automaticamente distribuído no período de apuração após a provisão para IR. Contudo, acrescenta que não integra a base de cálculo do IR do titular nem está sujeito à retenção na fonte, ponto não tratado pelo especialista e potencialmente controverso, o que torna a resposta juridicamente problemática em parte.""}",,5.0,1.0,CORRETO,"A IA responde corretamente com um 'Não' e explica a distribuição automática, adicionando informações corretas sobre a CSLL e a isenção na pessoa física, sem contradizer o especialista.","{""id"": 8, ""score"": 5, ""raciocinio"": ""A IA responde corretamente com um 'Não' e explica a distribuição automática, adicionando informações corretas sobre a CSLL e a isenção na pessoa física, sem contradizer o especialista.""}",,4.0,0.8,CORRETO,"A resposta da IA acerta o ponto principal (lucro automaticamente distribuído, não pode ser suspenso) e adiciona informações sobre retenção na fonte e base de cálculo do IR do titular. Essas informações adicionais, embora corretas, não eram necessárias para responder à questão específica.","{""id"": 8, ""score"": 4, ""raciocinio"": ""A resposta da IA acerta o ponto principal (lucro automaticamente distribuído, não pode ser suspenso) e adiciona informações sobre retenção na fonte e base de cálculo do IR do titular. Essas informações adicionais, embora corretas, não eram necessárias para responder à questão específica.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 3.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""PARCIALMENTE_CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",1.0
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre ao final de **trinta e seis meses consecutivos** em que a pessoa física, já equiparada a pessoa jurídica, não tenha realizado nenhum dos empreendimentos nem efetuado qualquer alienação das unidades imobiliárias ou lotes de terreno previstos no art. 173. Passado esse prazo, a equiparação deixa de valer, salvo pelos efeitos tributários das operações que ainda estejam em andamento.",openai_gpt-oss-120b,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente o prazo de 36 meses consecutivos sem empreendimentos ou alienações e o efeito de cessação da equiparação, ressalvando os efeitos tributários das operações em andamento, em linha com o especialista, sem contradições relevantes.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente o prazo de 36 meses consecutivos sem empreendimentos ou alienações e o efeito de cessação da equiparação, ressalvando os efeitos tributários das operações em andamento, em linha com o especialista, sem contradições relevantes.""}",,5.0,1.0,CORRETO,"A resposta da IA está totalmente alinhada com a do especialista, mencionando o prazo de 36 meses e a ressalva para as operações em andamento.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A resposta da IA está totalmente alinhada com a do especialista, mencionando o prazo de 36 meses e a ressalva para as operações em andamento.""}",,5.0,1.0,CORRETO,A resposta da IA cobre corretamente o prazo de 36 meses consecutivos sem alienações e a ressalva sobre operações em andamento. Está alinhada com a resposta especialista sem contradições ou omissões relevantes.,"{""id"": 9, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre corretamente o prazo de 36 meses consecutivos sem alienações e a ressalva sobre operações em andamento. Está alinhada com a resposta especialista sem contradições ou omissões relevantes.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
