Q,A,A_model,modelo_avaliado,prompt_version,gpt_judge_score_0_5,gpt_judge_score_normalizado,gpt_judge_categoria,gpt_judge_raciocinio,gpt_judge_raw,gpt_judge_erro,gemini_judge_score_0_5,gemini_judge_score_normalizado,gemini_judge_categoria,gemini_judge_raciocinio,gemini_judge_raw,gemini_judge_erro,claude_judge_score_0_5,claude_judge_score_normalizado,claude_judge_categoria,claude_judge_raciocinio,claude_judge_raw,claude_judge_erro,score_oficial_0_5,score_oficial_normalizado,resultado_oficial,regra_decisao,scores_julgadores,categorias_julgadores,desvio_score_entre_julgadores
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a ECF as seguintes pessoas jurídicas:

1.  As optantes pelo Simples Nacional;
2.  Os órgãos públicos, as autarquias e as fundações públicas;
3.  As pessoas jurídicas inativas, consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicações no mercado financeiro ou de capitais, durante todo o ano-calendário.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,5.0,1.0,CORRETO,"A IA reproduz corretamente as três hipóteses de desobrigação (Simples Nacional, órgãos/autarquias/fundações públicas e pessoas jurídicas inativas com o mesmo conceito). Não há contradições nem omissões relevantes.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente as três hipóteses de desobrigação (Simples Nacional, órgãos/autarquias/fundações públicas e pessoas jurídicas inativas com o mesmo conceito). Não há contradições nem omissões relevantes.""}",,5.0,1.0,CORRETO,"A resposta da IA está perfeitamente alinhada com a do especialista, listando as mesmas três hipóteses de desobrigação.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA está perfeitamente alinhada com a do especialista, listando as mesmas três hipóteses de desobrigação.""}",,5.0,1.0,CORRETO,"A resposta da IA cobre todas as três categorias de pessoas jurídicas desobrigadas de apresentar ECF de forma clara e objetiva, sem contradições com a resposta especialista. A omissão de detalhes sobre a DASN e a descrição mais concisa não prejudicam a suficiência jurídica da resposta.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre todas as três categorias de pessoas jurídicas desobrigadas de apresentar ECF de forma clara e objetiva, sem contradições com a resposta especialista. A omissão de detalhes sobre a DASN e a descrição mais concisa não prejudicam a suficiência jurídica da resposta.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Caso a alteração dos valores na ECF retificadora resulte em um crédito passível de restituição, reembolso ou compensação, o montante será acrescido de juros equivalentes à taxa Selic acumulada mensalmente. Além disso, serão aplicados juros de 1% no mês em que a quantia for disponibilizada ao sujeito passivo, no mês da entrega da declaração de compensação ou efetivação na GFIP, ou quando a compensação de ofício for considerada efetuada.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,2.0,0.4,INCORRETO,"A resposta especialista distingue claramente duas situações: imposto maior (diferença devida com acréscimos) e imposto menor (diferença paga pode ser compensada ou restituída com SELIC + 1%). A IA trata apenas da hipótese de crédito, não menciona a situação de imposto maior e ainda introduz referências a reembolso, GFIP e compensação de ofício que não constam do enunciado e podem gerar confusão. Há acerto parcial quanto à SELIC e 1%, mas omissão relevante e informação extra pouco adequada.","{""id"": 1, ""score"": 2, ""raciocinio"": ""A resposta especialista distingue claramente duas situações: imposto maior (diferença devida com acréscimos) e imposto menor (diferença paga pode ser compensada ou restituída com SELIC + 1%). A IA trata apenas da hipótese de crédito, não menciona a situação de imposto maior e ainda introduz referências a reembolso, GFIP e compensação de ofício que não constam do enunciado e podem gerar confusão. Há acerto parcial quanto à SELIC e 1%, mas omissão relevante e informação extra pouco adequada.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA aborda apenas a hipótese em que a retificação resulta em imposto menor (crédito), omitindo a consequência jurídica caso o imposto apurado seja maior.","{""id"": 1, ""score"": 3, ""raciocinio"": ""A resposta da IA aborda apenas a hipótese em que a retificação resulta em imposto menor (crédito), omitindo a consequência jurídica caso o imposto apurado seja maior.""}",,2.0,0.4,INCORRETO,"A resposta da IA menciona corretamente a aplicação de juros Selic, mas adiciona informações problemáticas e imprecisas sobre compensação de ofício na GFIP e percentuais de 1% que não correspondem exatamente à resposta especialista. Também não diferencia claramente entre imposto maior e menor, omitindo a estrutura lógica da resposta especialista.","{""id"": 1, ""score"": 2, ""raciocinio"": ""A resposta da IA menciona corretamente a aplicação de juros Selic, mas adiciona informações problemáticas e imprecisas sobre compensação de ofício na GFIP e percentuais de 1% que não correspondem exatamente à resposta especialista. Também não diferencia claramente entre imposto maior e menor, omitindo a estrutura lógica da resposta especialista.""}",,2.3333333333333335,0.4666666666666667,INCORRETO,media_dos_scores_validos,"{""gpt"": 2.0, ""gemini"": 3.0, ""claude"": 2.0}","{""gpt"": ""INCORRETO"", ""gemini"": ""PARCIALMENTE_CORRETO"", ""claude"": ""INCORRETO""}",0.5773502691896258
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Em regra, a isenção não depende de reconhecimento prévio. No entanto, na hipótese prevista no art. 187, a isenção deve ser reconhecida pela Secretaria da Receita Federal do Brasil.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,2.0,0.4,INCORRETO,"O especialista é categórico: a isenção do IRPJ independe de prévio reconhecimento. A IA afirma que, em regra, não depende, mas cria uma exceção condicionada ao art. 187, exigindo reconhecimento pela RFB, o que contradiz o conteúdo fornecido. Há algum acerto inicial, mas a exceção introduzida é juridicamente problemática frente à resposta-base.","{""id"": 2, ""score"": 2, ""raciocinio"": ""O especialista é categórico: a isenção do IRPJ independe de prévio reconhecimento. A IA afirma que, em regra, não depende, mas cria uma exceção condicionada ao art. 187, exigindo reconhecimento pela RFB, o que contradiz o conteúdo fornecido. Há algum acerto inicial, mas a exceção introduzida é juridicamente problemática frente à resposta-base.""}",,4.0,0.8,CORRETO,"A IA acerta a regra geral de que não depende de reconhecimento prévio, mas adiciona uma ressalva sobre o art. 187 que, embora exista no ordenamento, torna a resposta menos direta em comparação ao 'Não' categórico do especialista.","{""id"": 2, ""score"": 4, ""raciocinio"": ""A IA acerta a regra geral de que não depende de reconhecimento prévio, mas adiciona uma ressalva sobre o art. 187 que, embora exista no ordenamento, torna a resposta menos direta em comparação ao 'Não' categórico do especialista.""}",,0.0,0.0,INCORRETO,"A resposta da IA contradiz diretamente a resposta especialista ao afirmar que 'em regra, a isenção não depende de reconhecimento prévio' e depois mencionar uma hipótese de reconhecimento obrigatório. A resposta especialista é categórica: a isenção independe de prévio reconhecimento, sem exceções mencionadas.","{""id"": 2, ""score"": 0, ""raciocinio"": ""A resposta da IA contradiz diretamente a resposta especialista ao afirmar que 'em regra, a isenção não depende de reconhecimento prévio' e depois mencionar uma hipótese de reconhecimento obrigatório. A resposta especialista é categórica: a isenção independe de prévio reconhecimento, sem exceções mencionadas.""}",,2.0,0.4,INCORRETO,media_dos_scores_validos,"{""gpt"": 2.0, ""gemini"": 4.0, ""claude"": 0.0}","{""gpt"": ""INCORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""INCORRETO""}",2.0
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica quando caracterizada como empresa individual, o que ocorre nas seguintes hipóteses:

1.  Quando se constitui como empresário na forma estabelecida pelos artigos 966 a 969 do Código Civil;
2.  Quando explora, em nome individual, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com fim especulativo de lucro, por meio da venda de bens ou serviços a terceiros (excetuando-se o exercício individual de profissões intelectuais, artísticas, de corretagem, serventia de justiça e prestação de serviços sem caráter empresarial);
3.  Quando promove a incorporação de prédios em condomínio ou o loteamento de terrenos.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,4.0,0.8,CORRETO,"A IA acerta os dois núcleos essenciais: pessoa física equiparada quando explora, em nome individual, atividade econômica com fim lucrativo e quando promove incorporação ou loteamento. Acrescenta referência ao empresário do Código Civil e exclusões de certas atividades intelectuais, que não constam do texto-base, mas não o contradizem. Há leve excesso de informação, porém o núcleo jurídico está correto e suficiente.","{""id"": 3, ""score"": 4, ""raciocinio"": ""A IA acerta os dois núcleos essenciais: pessoa física equiparada quando explora, em nome individual, atividade econômica com fim lucrativo e quando promove incorporação ou loteamento. Acrescenta referência ao empresário do Código Civil e exclusões de certas atividades intelectuais, que não constam do texto-base, mas não o contradizem. Há leve excesso de informação, porém o núcleo jurídico está correto e suficiente.""}",,5.0,1.0,CORRETO,"A resposta da IA contém as mesmas hipóteses do especialista e adiciona corretamente a previsão do Código Civil, o que complementa a resposta sem gerar contradição.","{""id"": 3, ""score"": 5, ""raciocinio"": ""A resposta da IA contém as mesmas hipóteses do especialista e adiciona corretamente a previsão do Código Civil, o que complementa a resposta sem gerar contradição.""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA adiciona referências ao Código Civil e menciona exceções (profissões intelectuais, artísticas, etc.) que não constam da resposta especialista. Embora as informações adicionais possam estar corretas, elas não foram solicitadas e podem gerar confusão sobre o escopo da equiparação, tornando a resposta menos objetiva.","{""id"": 3, ""score"": 3, ""raciocinio"": ""A resposta da IA adiciona referências ao Código Civil e menciona exceções (profissões intelectuais, artísticas, etc.) que não constam da resposta especialista. Embora as informações adicionais possam estar corretas, elas não foram solicitadas e podem gerar confusão sobre o escopo da equiparação, tornando a resposta menos objetiva.""}",,4.0,0.8,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 3.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""PARCIALMENTE_CORRETO""}",1.0
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Sim, aos condôminos pessoas físicas aplicam-se os critérios de caracterização da empresa individual, nos limites de sua participação, como se fossem os únicos titulares da operação imobiliária.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,3.0,0.6,PARCIALMENTE_CORRETO,"O especialista esclarece que o condomínio em si não é sociedade em comum e que se aplicam aos condôminos os critérios de empresa individual, nos limites da participação. A IA responde com um “Sim” genérico, dizendo que os condôminos estão sujeitos à equiparação, sem deixar claro que o condomínio não é equiparado e que a análise é individual. A essência (aplicação dos critérios ao condômino) está, mas a forma pode induzir a entender que o condomínio é equiparado, gerando dúvida relevante.","{""id"": 4, ""score"": 3, ""raciocinio"": ""O especialista esclarece que o condomínio em si não é sociedade em comum e que se aplicam aos condôminos os critérios de empresa individual, nos limites da participação. A IA responde com um “Sim” genérico, dizendo que os condôminos estão sujeitos à equiparação, sem deixar claro que o condomínio não é equiparado e que a análise é individual. A essência (aplicação dos critérios ao condômino) está, mas a forma pode induzir a entender que o condomínio é equiparado, gerando dúvida relevante.""}",,5.0,1.0,CORRETO,"A resposta da IA é direta, correta e reflete exatamente o entendimento do especialista sobre a aplicação dos critérios de empresa individual aos condôminos.","{""id"": 4, ""score"": 5, ""raciocinio"": ""A resposta da IA é direta, correta e reflete exatamente o entendimento do especialista sobre a aplicação dos critérios de empresa individual aos condôminos.""}",,5.0,1.0,CORRETO,"A resposta da IA sintetiza corretamente o conteúdo da resposta especialista, mantendo a essência jurídica de que aos condôminos pessoas físicas aplicam-se os critérios de empresa individual nos limites de sua participação, sem contradições relevantes.","{""id"": 4, ""score"": 5, ""raciocinio"": ""A resposta da IA sintetiza corretamente o conteúdo da resposta especialista, mantendo a essência jurídica de que aos condôminos pessoas físicas aplicam-se os critérios de empresa individual nos limites de sua participação, sem contradições relevantes.""}",,4.333333333333333,0.8666666666666666,CORRETO,media_dos_scores_validos,"{""gpt"": 3.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""PARCIALMENTE_CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",1.1547005383792517
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","Considera-se como data de aquisição ou alienação aquela em que for celebrado o contrato inicial da operação imobiliária, ainda que realizado por meio de instrumento particular.

Para que a data constante de instrumento particular seja aceita pela autoridade fiscal, caso seja favorável aos interesses da pessoa física, deve ser atendida, no mínimo, uma das seguintes condições:

1.  O instrumento ter sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data nele constante;
2.  Haver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
3.  Haver conformidade com lançamentos contábeis da pessoa jurídica, respeitando os preceitos de escrituração em vigor;
4.  Haver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente junto com as declarações de rendimentos.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,5.0,1.0,CORRETO,"A IA repete integralmente os critérios do especialista: data do contrato inicial e as quatro condições alternativas para aceitação da data em instrumento particular, com o mesmo conteúdo jurídico. Não há omissões nem contradições.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A IA repete integralmente os critérios do especialista: data do contrato inicial e as quatro condições alternativas para aceitação da data em instrumento particular, com o mesmo conteúdo jurídico. Não há omissões nem contradições.""}",,5.0,1.0,CORRETO,A resposta da IA reproduz com exatidão a regra da data do contrato e as quatro condições para aceitação do instrumento particular.,"{""id"": 5, ""score"": 5, ""raciocinio"": ""A resposta da IA reproduz com exatidão a regra da data do contrato e as quatro condições para aceitação do instrumento particular.""}",,5.0,1.0,CORRETO,"A resposta da IA reproduz fielmente as informações da resposta especialista, listando as quatro condições para aceitação da data de aquisição ou alienação em instrumento particular de forma clara e completa, sem omissões ou contradições.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A resposta da IA reproduz fielmente as informações da resposta especialista, listando as quatro condições para aceitação da data de aquisição ou alienação em instrumento particular de forma clara e completa, sem omissões ou contradições.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação ocorre quando o proprietário promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, iniciando a alienação (ou qualquer ajuste preliminar, como recebimento de reserva) antes de decorrido o prazo de sessenta meses contado da data da averbação da construção ou da aceitação das obras.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,4.0,0.8,CORRETO,"A IA acerta que a equiparação ocorre com construção de prédio com mais de duas unidades ou loteamento e que se inicia com a alienação antes de 60 meses da averbação/aceitação das obras. Omissão relevante: não menciona o prazo especial de 36 meses para terrenos adquiridos até 30/06/1977. A referência a “ajuste preliminar, como recebimento de reserva” é informação extra, mas não contraditória. Há pequena omissão.","{""id"": 6, ""score"": 4, ""raciocinio"": ""A IA acerta que a equiparação ocorre com construção de prédio com mais de duas unidades ou loteamento e que se inicia com a alienação antes de 60 meses da averbação/aceitação das obras. Omissão relevante: não menciona o prazo especial de 36 meses para terrenos adquiridos até 30/06/1977. A referência a “ajuste preliminar, como recebimento de reserva” é informação extra, mas não contraditória. Há pequena omissão.""}",,4.0,0.8,CORRETO,"A IA acerta a regra geral dos 60 meses e as condições de equiparação, mas omite a exceção para terrenos adquiridos até 1977 (36 meses).","{""id"": 6, ""score"": 4, ""raciocinio"": ""A IA acerta a regra geral dos 60 meses e as condições de equiparação, mas omite a exceção para terrenos adquiridos até 1977 (36 meses).""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA omite informação relevante sobre o prazo diferenciado de 36 meses para terrenos adquiridos até 30 de junho de 1977. Também não menciona explicitamente que a equiparação ocorre sem arquivamento prévio dos documentos de incorporação, o que é detalhe importante da resposta especialista.","{""id"": 6, ""score"": 3, ""raciocinio"": ""A resposta da IA omite informação relevante sobre o prazo diferenciado de 36 meses para terrenos adquiridos até 30 de junho de 1977. Também não menciona explicitamente que a equiparação ocorre sem arquivamento prévio dos documentos de incorporação, o que é detalhe importante da resposta especialista.""}",,3.6666666666666665,0.7333333333333333,PARCIALMENTE_CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 4.0, ""claude"": 3.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""PARCIALMENTE_CORRETO""}",0.5773502691896258
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Em caso de alteração posterior das normas, deverá prevalecer a legislação que estava em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento. As novas normas não atingem as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,5.0,1.0,CORRETO,"A IA mantém exatamente o critério temporal: prevalece a legislação vigente na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e as alterações posteriores não atingem operações já realizadas nem empreendimentos já arquivados. Totalmente alinhada.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A IA mantém exatamente o critério temporal: prevalece a legislação vigente na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e as alterações posteriores não atingem operações já realizadas nem empreendimentos já arquivados. Totalmente alinhada.""}",,5.0,1.0,CORRETO,"A resposta da IA está totalmente alinhada com a do especialista, confirmando que prevalece a legislação da época do instrumento inicial e que novas normas não retroagem.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA está totalmente alinhada com a do especialista, confirmando que prevalece a legislação da época do instrumento inicial e que novas normas não retroagem.""}",,5.0,1.0,CORRETO,A resposta da IA cobre adequadamente o ponto principal: a legislação vigente na data do instrumento inicial prevalece e alterações posteriores não atingem operações já realizadas. Não há contradições com a resposta especialista.,"{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre adequadamente o ponto principal: a legislação vigente na data do instrumento inicial prevalece e alterações posteriores não atingem operações já realizadas. Não há contradições com a resposta especialista.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado não pode ser mantido como lucros suspensos na escrituração, pois é considerado automaticamente distribuído no período de apuração após a dedução da provisão para o imposto sobre a renda e da Contribuição Social sobre o Lucro Líquido (CSLL).",gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,4.0,0.8,CORRETO,"Ambas afirmam que o lucro não pode ser mantido como suspenso e é automaticamente distribuído após a provisão para IRPJ. A IA acrescenta a CSLL, que não é mencionada pelo especialista; isso é um detalhe adicional que não altera o núcleo, mas extrapola ligeiramente o texto-base. Conteúdo principal correto e suficiente.","{""id"": 8, ""score"": 4, ""raciocinio"": ""Ambas afirmam que o lucro não pode ser mantido como suspenso e é automaticamente distribuído após a provisão para IRPJ. A IA acrescenta a CSLL, que não é mencionada pelo especialista; isso é um detalhe adicional que não altera o núcleo, mas extrapola ligeiramente o texto-base. Conteúdo principal correto e suficiente.""}",,5.0,1.0,CORRETO,"A IA responde corretamente que o lucro não pode ser mantido suspenso e adiciona a dedução da CSLL, o que é juridicamente correto e não contradiz o especialista.","{""id"": 8, ""score"": 5, ""raciocinio"": ""A IA responde corretamente que o lucro não pode ser mantido suspenso e adiciona a dedução da CSLL, o que é juridicamente correto e não contradiz o especialista.""}",,4.0,0.8,CORRETO,"A resposta da IA está correta ao afirmar que o lucro não pode ser mantido como lucros suspensos e é automaticamente distribuído. Porém, adiciona menção à CSLL que não consta da resposta especialista, o que é informação extra desnecessária para responder à questão específica sobre IRPJ.","{""id"": 8, ""score"": 4, ""raciocinio"": ""A resposta da IA está correta ao afirmar que o lucro não pode ser mantido como lucros suspensos e é automaticamente distribuído. Porém, adiciona menção à CSLL que não consta da resposta especialista, o que é informação extra desnecessária para responder à questão específica sobre IRPJ.""}",,4.333333333333333,0.8666666666666666,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.",O término da equiparação é considerado ocorrido a partir do final do prazo de trinta e seis meses consecutivos sem a promoção de empreendimentos ou a efetivação de alienações.,gemini-3-pro-preview,prompt_score_0_5_3_julgadores_101_batch,5.0,1.0,CORRETO,"A IA reproduz o critério de 36 meses consecutivos sem empreendimentos ou alienações para o término da equiparação. Apenas omite a ressalva sobre efeitos tributários das operações em andamento, que é detalhe adicional não essencial à pergunta. Sem contradição.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A IA reproduz o critério de 36 meses consecutivos sem empreendimentos ou alienações para o término da equiparação. Apenas omite a ressalva sobre efeitos tributários das operações em andamento, que é detalhe adicional não essencial à pergunta. Sem contradição.""}",,4.0,0.8,CORRETO,"A IA acerta o prazo de 36 meses para o término da equiparação, mas omite a ressalva importante sobre os efeitos tributários das operações em andamento.","{""id"": 9, ""score"": 4, ""raciocinio"": ""A IA acerta o prazo de 36 meses para o término da equiparação, mas omite a ressalva importante sobre os efeitos tributários das operações em andamento.""}",,4.0,0.8,CORRETO,"A resposta da IA responde corretamente sobre o término da equiparação após 36 meses sem alienações, mas omite a ressalva importante sobre os efeitos tributários das operações em andamento conforme art. 177, § 1º do RIR/2018, que consta na resposta especialista.","{""id"": 9, ""score"": 4, ""raciocinio"": ""A resposta da IA responde corretamente sobre o término da equiparação após 36 meses sem alienações, mas omite a ressalva importante sobre os efeitos tributários das operações em andamento conforme art. 177, § 1º do RIR/2018, que consta na resposta especialista.""}",,4.333333333333333,0.8666666666666666,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 4.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
