question,answer,reference,gold_passage
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","IN RFB nº 2.004, de 2021, art. 1º, § 1º;","Art. 1º A Escrituração Contábil Fiscal (ECF) será apresentada, a partir do ano-calendário de 2014, por todas as pessoas jurídicas, inclusive as equiparadas, de forma centralizada pela matriz, de acordo com as regras estabelecidas nesta Instrução Normativa.
§ 1º A obrigatoriedade a que se refere o caput não se aplica:
I - às pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional), de que trata a Lei Complementar nº 123, de 14 de dezembro de 2006;
II - aos órgãos públicos, às autarquias e às fundações públicas; e
III - às pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais devem cumprir as obrigações acessórias previstas na legislação específica.
§ 2º Para as pessoas jurídicas que apuram o Imposto sobre a Renda das Pessoas Jurídicas (IRPJ) pela sistemática do lucro real, a ECF é o Livro de Apuração do Lucro Real a que se refere o inciso I do caput do art. 8º do Decreto-Lei nº 1.598, de 26 de dezembro de 1977.
§ 3º No caso de pessoas jurídicas sócias ostensivas de Sociedades em Conta de Participação (SCP), a ECF deverá ser transmitida separadamente, para cada SCP, além da transmissão da ECF da sócia ostensiva."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","IN RFB nº 2.055, de 2021, art. 148. ","Art. 148. O crédito relativo a tributo administrado pela RFB, passível de restituição ou de reembolso, será restituído, reembolsado ou compensado acrescido de juros equivalentes à taxa referencial do Sistema Especial de Liquidação e de Custódia (Selic) para títulos federais, acumulados mensalmente, e de juros de 1% (um por cento) no mês em que:
I - a quantia for disponibilizada ao sujeito passivo;
II - for entregue a declaração de compensação ou for efetivada a compensação na GFIP; ou
III - for considerada efetuada a compensação de ofício, conforme a data definida nos incisos I e II do art. 96.
Parágrafo único. Para fins do disposto no inciso I do caput, será considerada disponibilizada a quantia ao sujeito passivo:
I - no caso de restituição apurada em declaração de rendimentos da pessoa física, no mês em que o recurso for disponibilizado no banco ou na instituição de pagamento; e
II - nos demais casos, no mês da efetivação da restituição."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"RIR/2018, art. 192.","Art. 192. As isenções de que trata esta Seção independem de reconhecimento prévio.

Parágrafo único. Na hipótese prevista no art. 187 , a isenção será reconhecida pela Secretaria da Receita Federal do Brasil do Ministério da Fazenda e alcançará os rendimentos obtidos a partir da existência da reciprocidade de tratamento e não poderá originar, em qualquer hipótese, direito à restituição de receita ( Decreto-Lei nº 1.228, de 1972, art. 2º, caput e parágrafo único ).

"
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","RIR/2018, art. 162, § 1º, incisos I a III.","Art. 162. As empresas individuais são equiparadas às pessoas jurídicas (Decreto-Lei nº 1.706, de 23 de outubro de 1979, art. 2º) .

§ 1º São empresas individuais:

I - os empresários constituídos na forma estabelecida no art. 966 ao art. 969 da Lei nº 10.406, de 2002 - Código Civil ;

II - as pessoas físicas que, em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços ( Lei nº 4.506, de 1964, art. 41, § 1º, alínea “b” ; e Decreto-Lei nº 5.844, de 1943, art. 27, § 1º ); e

III - as pessoas físicas que promovam a incorporação de prédios em condomínio ou loteamento de terrenos, nos termos estabelecidos na Seção II deste Capítulo ( Decreto-Lei nº 1.381, de 23 de dezembro de 1974, art. 1º e art. 3º, caput, inciso III ).

§ 2º O disposto no inciso II do § 1º não se aplica às pessoas físicas que, individualmente, exerçam as profissões ou explorem as atividades de:

I - médico, engenheiro, advogado, dentista, veterinário, professor, economista, contador, jornalista, pintor, escritor, escultor e de outras que lhes possam ser assemelhadas ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “a” ; Lei nº 4.480, de 14 de novembro de 1964, art. 3 º; e Lei nº 10.406, de 2002 - Código Civil, art. 966, parágrafo único );

II - profissões, ocupações e prestação de serviços não comerciais ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “b” );

III - agentes, representantes e outras pessoas sem vínculo empregatício que, ao tomar parte em atos de comércio, não os pratiquem, todavia, por conta própria ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “c” );

IV - serventuários da Justiça, como tabeliães, notários, oficiais públicos, entre outros ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “d” );

V - corretores, leiloeiros e despachantes, seus prepostos e seus adjuntos ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “e” );

VI - exploração individual de contratos de empreitada unicamente de lavor, de qualquer natureza, quer se trate de trabalhos arquitetônicos, topográficos, terraplenagem, construções de alvenaria e outras congêneres, quer de serviços de utilidade pública, tanto de estudos como de construções ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “f” ); e

VII - exploração de obras artísticas, didáticas, científicas, urbanísticas, projetos técnicos de construção, instalações ou equipamentos, exceto quando não explorados diretamente pelo autor ou pelo criador do bem ou da obra ( Decreto-Lei nº 5.844, de 1943, art. 6º, caput, alínea “g” ; e Lei nº 10.406, de 2002 - Código Civil, art. 966, parágrafo único ).

"
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","RIR/2018, art. 167. ","Art. 167. Os condomínios na propriedade de imóveis não são considerados sociedades em comum, ainda que pessoas jurídicas também façam parte deles ( Decreto-Lei nº 1.381, de 1974, art. 7º ).

Parágrafo único. A cada condômino, pessoa física, serão aplicados os critérios de caracterização da empresa individual e os demais dispositivos legais, como se ele fosse o único titular da operação imobiliária, nos limites de sua participação ( Decreto-Lei nº 1.381, de 1974, art. 7º, parágrafo único )."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","RIR/2018, art. 166, §§ 1º e 2º.","Art. 166. Caracterizam-se a aquisição e a alienação pelos atos de compra e venda, de permuta, de transferência do domínio útil de imóveis foreiros, de cessão de direitos, de promessa dessas operações, de adjudicação ou de arrematação em hasta pública, pela procuração em causa própria, ou por outros contratos afins em que haja transmissão de imóveis ou de direitos sobre imóveis ( Decreto-Lei nº 1.381, de 1974, art. 2º, § 1º ).

§ 1º A data de aquisição ou de alienação é aquela em que for celebrado o contrato inicial da operação imobiliária correspondente, ainda que por meio de instrumento particular ( Decreto-Lei nº 1.381, de 1974, art. 2º, caput, inciso II ).

§ 2º A data de aquisição ou de alienação constante de instrumento particular, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal se atendida, no mínimo, uma das seguintes condições ( Decreto-Lei nº 1.381, de 1974, art. 2º, § 2º ):

I - houver sido o instrumento registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data dele constante;

II - houver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;

III - houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; e

IV - houver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos.

§ 3º O Ministro de Estado da Fazenda poderá estabelecer critérios adicionais para aceitação da data do instrumento particular a que se refere o § 2º ( Decreto-Lei nº 1.381, de 1974, art. 2º, § 3º )."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","RIR/2018, arts. 164 e 165.","Art. 164. Equipara-se, também, à pessoa jurídica, o proprietário ou o titular de terrenos ou glebas de terra que, sem efetuar o registro dos documentos de incorporação ou loteamento, neles promova a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, se iniciar a alienação das unidades imobiliárias ou dos lotes de terreno antes de decorrido o prazo de sessenta meses, contado da data da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras do loteamento ( Decreto-Lei nº 1.381, de 1974, art. 6º, § 1º ; e Decreto-Lei nº 1.510, de 27 de dezembro de 1976, art. 16 ).

§ 1º Para fins do disposto neste artigo, a alienação será caracterizada pela existência de qualquer ajuste preliminar, ainda que de simples recebimento de importância a título de reserva ( Decreto-Lei nº 1.381, de 1974, art. 6º, § 2º ).

§ 2º O prazo a que se refere o caput será, em relação aos imóveis havidos até 30 de junho de 1977, de trinta e seis meses, contado da data da averbação ( Decreto-Lei nº 1.381, de 1974, art. 6º, § 1º ; e Decreto-Lei nº 1.510, de 1976, art. 16 )."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","RIR/2018, art. 169.","Art. 169. A equiparação da pessoa física à pessoa jurídica será determinada de acordo com as normas legais e regulamentares em vigor na data ( Decreto-Lei nº 1.381, de 1974, art. 8º ):

I - do instrumento inicial de alienação do imóvel;

II - do arquivamento dos documentos da incorporação; ou

III - do loteamento.

Parágrafo único. A alteração posterior das normas referidas neste artigo não atingirá as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário ( Decreto-Lei nº 1.381, de 1974, art. 8º )."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","RIR/2018, art. 176.","Art. 176. O lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias será considerado, após a dedução da provisão para o imposto sobre a renda e da Contribuição Social sobre o Lucro Líquido - CSLL, como automaticamente distribuído no período de apuração ( Decreto-Lei nº 1.510, de 1976, art. 14 ; e Lei nº 7.689, de 15 de dezembro de 1988, art. 2º e art. 4º) .

Parágrafo único. Os lucros considerados automaticamente distribuídos, apurados a partir de 1º de janeiro de 1996, não ficarão sujeitos à incidência do imposto sobre a renda na fonte, nem integrarão a base de cálculo do imposto sobre a renda do titular da empresa individual ( Lei nº 9.249, de 1995, art. 10 )."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","RIR/2018, art. 177, caput e § 1º.","Art. 177. A pessoa física que, após sua equiparação a pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações a que se refere o inciso I do caput do art. 173 , durante o prazo de trinta e seis meses consecutivos, deixará de ser considerada equiparada a pessoa jurídica a partir do término desse prazo, exceto quanto aos efeitos tributários das operações em andamento à época ( Decreto-Lei nº 1.381, de 1974, art. 10 ).

§ 1º Permanecerão no ativo da empresa individual ( Decreto-Lei nº 1.381, de 1974, art. 10, § 1º ):

I - as unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, até a sua alienação e o recebimento total do preço; e

II - o saldo a receber do preço de imóveis já alienados, até seu recebimento total.

§ 2º Na hipótese prevista no § 1º, a pessoa física poderá encerrar a empresa individual, desde que recolha o imposto sobre a renda que seria devido ( Decreto-Lei nº 1.381, de 1974, art. 10, § 2º ):

I - se os imóveis referidos no inciso I do § 1º fossem alienados, com pagamento à vista, ao preço de mercado; e

II - se o saldo referido no inciso II do § 1º fosse recebido integralmente."
