Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a ECF:

1. As pessoas jurídicas optantes pelo Simples Nacional (microempresas e empresas de pequeno porte enquadradas na LC nº 123/2006);  
2. Os órgãos públicos, as autarquias e as fundações públicas;  
3. As pessoas jurídicas inativas durante todo o ano-calendário, ou seja, que não tenham realizado qualquer atividade operacional, não operacional, patrimonial ou financeira (inclusive aplicações no mercado financeiro ou de capitais) no período, devendo, porém, cumprir as demais obrigações acessórias específicas para inativas."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Se a ECF retificadora apurar valores de IRPJ e/ou CSLL diferentes dos informados na ECF original, os efeitos tributários principais são:

1. **Se a retificação reduzir o IRPJ/CSLL devido (gerar crédito a favor do contribuinte)**  
   - O valor pago a maior passa a constituir **crédito tributário passível de restituição, reembolso ou compensação**.  
   - Esse crédito deve ser **atualizado pela taxa Selic**, acumulada mensalmente, **acrescida de 1% no mês em que**:
     - o valor for efetivamente disponibilizado ao contribuinte (no caso de restituição em dinheiro); ou  
     - for entregue a declaração de compensação; ou  
     - for considerada efetuada a compensação de ofício.

2. **Se a retificação aumentar o IRPJ/CSLL devido (gerar débito complementar)**  
   - Haverá **diferença de imposto a recolher**, sujeita a:
     - atualização pela **Selic** desde o vencimento original até o pagamento; e  
     - **multa de mora** ou de ofício, conforme o caso (por exemplo, se a diferença for apurada em fiscalização).  
   - A retificação, por si só, não afasta a incidência de juros e multa sobre a diferença de tributo que deixou de ser paga no prazo original.

3. **Momento dos efeitos**  
   - Em regra, a ECF retificadora **substitui integralmente** a ECF original para fins de apuração do IRPJ e da CSLL, desde que apresentada dentro das condições normativas (por exemplo, antes de iniciado procedimento de ofício sobre aquele período e observadas as regras específicas da ECF).  
   - A partir da retificação, os novos valores passam a ser a base para:
     - cálculo de créditos a restituir/compensar (com Selic + 1% no mês da disponibilização/compensação); ou  
     - cálculo de débitos complementares (com Selic e eventuais multas).

Em síntese: se a ECF retificadora reduzir o imposto, nasce um crédito sujeito à atualização pela Selic + 1% no mês da disponibilização/compensação; se aumentar o imposto, há débito sujeito a juros (Selic) e multa, tomando-se como referência o vencimento original do tributo."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não. As isenções tratadas nessa Seção não dependem de reconhecimento prévio pela Secretaria Especial da Receita Federal do Brasil, salvo a hipótese específica do art. 187, em que a isenção deve ser reconhecida pela Receita e produz efeitos apenas a partir da existência da reciprocidade de tratamento, sem gerar direito à restituição."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica nas seguintes hipóteses:

1. Quando atua como empresário individual, constituído na forma dos arts. 966 a 969 do Código Civil (ou seja, exerce profissionalmente atividade econômica organizada para a produção ou circulação de bens ou serviços, registrado como empresário).

2. Quando, em nome próprio, explora de forma habitual e profissional qualquer atividade econômica de natureza civil ou comercial, com finalidade lucrativa, por meio da venda a terceiros de bens ou serviços.

3. Quando promove, como pessoa física, a incorporação de prédios em condomínio ou o loteamento de terrenos, nas condições previstas na legislação específica.

Nesses casos, a pessoa física é tratada, para fins legais (especialmente tributários), como se fosse pessoa jurídica."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não. O condomínio em si não é equiparado a pessoa jurídica ou sociedade em comum.  

O que ocorre é que cada condômino, pessoa física, é analisado individualmente: para fins fiscais e legais, aplicam-se a ele os critérios de caracterização de empresa individual, como se fosse o único titular da operação imobiliária, mas apenas dentro do limite de sua participação no imóvel."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A aquisição ou alienação é considerada ocorrida na data em que for celebrado o contrato inicial da operação imobiliária correspondente, mesmo que seja por instrumento particular.

Para que a data constante de um instrumento particular seja aceita pela autoridade fiscal, quando favorável ao contribuinte, é necessário que seja atendida pelo menos uma das seguintes condições:

1. O instrumento tenha sido registrado no Registro de Imóveis ou no Registro de Títulos e Documentos no prazo de 30 dias contados da data nele indicada;  
2. Haja conformidade com cheque nominativo pago no prazo de 30 dias contados da data do instrumento;  
3. Haja conformidade com lançamentos contábeis da pessoa jurídica, observadas as normas de escrituração vigentes;  
4. Haja menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente junto com as declarações de rendimentos."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação ocorre não pelo número de operações de venda, mas pela situação descrita em lei: 

- Ocorre a equiparação à pessoa jurídica quando o proprietário ou titular de terrenos ou glebas de terra, **sem registrar a incorporação ou o loteamento**, promove:
  - a construção de **prédio com mais de duas unidades imobiliárias**, ou  
  - a execução de **loteamento**,  

e **inicia a alienação** (venda, promessa de venda, recebimento de valores a título de reserva, ou qualquer ajuste preliminar) **antes de decorridos 60 meses** da averbação da construção ou da aceitação das obras do loteamento (ou 36 meses para imóveis havidos até 30/06/1977).

Portanto, não há um “número mínimo de operações” (como 3, 5 ou 10 vendas); basta que se enquadre nessa situação (prédio com mais de duas unidades ou loteamento, sem o devido registro, com início de alienação antes do prazo) para que a pessoa física seja equiparada à pessoa jurídica para fins de tributação."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Deverá prevalecer a legislação vigente na data:

- do instrumento inicial de alienação do imóvel;  
- ou do arquivamento dos documentos da incorporação;  
- ou do loteamento,  

conforme o caso.  

Alterações posteriores dessas normas não atingem as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro de Imóveis."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não.  

O lucro apurado pela pessoa física equiparada à empresa individual em razão de operações imobiliárias é considerado automaticamente distribuído no próprio período de apuração, após a dedução do IR e da CSLL.  

Assim, não pode ser mantido como “lucros suspensos” na escrituração: ele é tratado como já distribuído e, a partir de 1º/01/1996, não sofre IR na fonte nem integra a base de cálculo do IR da pessoa física titular."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre ao final do prazo de 36 meses consecutivos em que a pessoa física, já equiparada a pessoa jurídica, não realizar nenhum dos empreendimentos nem efetuar nenhuma alienação das unidades imobiliárias ou lotes de terreno. A partir do término desses 36 meses ela deixa de ser considerada equiparada a pessoa jurídica, ressalvados apenas os efeitos tributários das operações que ainda estiverem em andamento."
