Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","As pessoas jurídicas desobrigadas de apresentar a ECF são: 
- as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional);
- os órgãos públicos, as autarquias e as fundações públicas; 
- as pessoas jurídicas inativas, que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Os efeitos tributários no caso de a ECF retificadora apresentar valores a título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF retificada não estão claros, pois a legislação fornecida trata da restituição, reembolso ou compensação de tributos administrados pela RFB, acrescidos de juros, e não aborda especificamente as consequências de uma ECF retificadora com valores diferentes. Portanto, não é possível determinar os efeitos tributários nesse caso com base nas informações disponíveis."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção independe de reconhecimento prévio, exceto na hipótese prevista no art. 187, que requer reconhecimento pela Secretaria da Receita Federal do Brasil."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","As hipóteses em que a pessoa física é equiparada à pessoa jurídica são as seguintes: 

1. Empresários constituídos na forma estabelecida no Código Civil; 
2. Pessoas físicas que explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços; 
3. Pessoas físicas que promovam a incorporação de prédios em condomínio ou loteamento de terrenos. 

No entanto, não se aplica essa equiparação às pessoas físicas que exerçam certas profissões ou atividades, como médicos, engenheiros, advogados, dentistas, veterinários, professores, economistas, contadores, jornalistas, pintores, escritores, escultores e outras profissões semelhantes, bem como profissões, ocupações e prestação de serviços não comerciais, agentes, representantes e outras pessoas sem vínculo empregatício, serventuários da Justiça, corretores, leiloeiros e despachantes, exploração individual de contratos de empreitada unicamente de lavor e exploração de obras artísticas, didáticas, científicas, urbanísticas, projetos técnicos de construção, instalações ou equipamentos."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condôminos na propriedade de imóveis não são considerados sociedades em comum, mesmo que pessoas jurídicas façam parte deles. Além disso, cada condômino pessoa física é tratado individualmente, com a aplicação dos critérios de caracterização da empresa individual, dentro dos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A aquisição ou alienação é considerada ocorrida na data em que for celebrado o contrato inicial da operação imobiliária correspondente, ainda que por meio de instrumento particular. No entanto, se a data constar de instrumento particular e for favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal se atendida, no mínimo, uma das seguintes condições: 
- o instrumento for registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data dele constante;
- houver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
- houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; 
- houver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos. Além disso, o Ministro de Estado da Fazenda pode estabelecer critérios adicionais para aceitação da data do instrumento particular."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação de pessoa física à pessoa jurídica ocorre quando o proprietário ou titular de terrenos ou glebas de terra promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, e inicia a alienação das unidades imobiliárias ou dos lotes de terreno antes de decorrido o prazo de sessenta meses, contado da data da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras do loteamento. Não há um quantitativo específico de operações imobiliárias necessário para a equiparação, mas sim a realização de certas atividades, como a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, seguida da alienação das unidades ou lotes antes do prazo estabelecido."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Em caso de alteração das normas em vigor que disciplinam a prática de operações imobiliárias por pessoas físicas, a legislação que deverá prevalecer é a que estava em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento, pois alterações posteriores não atingirão as operações imobiliárias já realizadas ou os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias é considerado como automaticamente distribuído no período de apuração, após a dedução da provisão para o imposto sobre a renda e da Contribuição Social sobre o Lucro Líquido - CSLL. Isso significa que o lucro não pode ser mantido como lucros suspensos na escrituração da empresa individual."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre após o prazo de trinta e seis meses consecutivos sem que a pessoa física promova nenhum dos empreendimentos ou efetue nenhuma das alienações, exceto quanto aos efeitos tributários das operações em andamento à época. No entanto, se a pessoa física tiver unidades imobiliárias ou lotes de terrenos integrantes de incorporações ou loteamentos, ou saldo a receber do preço de imóveis já alienados, a equiparação somente será considerada encerrada após a alienação e recebimento total do preço desses imóveis ou recebimento integral do saldo."
"Qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da  empresa individual quando, completado o prazo de 36 (trinta e seis) meses  consecutivos sem promover incorporações ou loteamentos, ocorrer o término  da equiparação à pessoa jurídica?","Permanecerão no ativo da empresa individual, para efeito de tributação como lucro da pessoa jurídica: a) as unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, até sua alienação e, após esta, o saldo a receber, até o recebimento total do preço; b) o saldo a receber do preço dos imóveis então alienados, até seu recebimento total.","Os imóveis integrantes do ativo da empresa individual permanecerão no ativo até a sua alienação e o recebimento total do preço. Além disso, o saldo a receber do preço de imóveis já alienados também permanecerá no ativo até seu recebimento total. A pessoa física poderá encerrar a empresa individual se recolher o imposto sobre a renda que seria devido, caso os imóveis sejam alienados com pagamento à vista, ao preço de mercado, ou se o saldo for recebido integralmente."
Como determinar o capital da empresa individual no caso de pessoa física  equiparada por prática de operações imobiliárias?,"O capital da empresa individual, no início de cada período de apuração (trimestral ou anual), será representado pela soma dos valores dos imóveis constantes do seu ativo com os valores a receber relativos ao custo dos imóveis já vendidos em períodos de apuração anteriores.","O capital da empresa individual no início de cada exercício é determinado pelos recursos efetivamente investidos pela pessoa física titular da empresa individual nos imóveis, bem como pela correção monetária desses investimentos, com base na variação do valor das Obrigações Reajustáveis do Tesouro Nacional, desde a época de cada pagamento até a data da equiparação. Isso inclui o custo do terreno ou das glebas de terra em que sejam promovidos loteamentos ou incorporações, bem como das construções e benfeitorias executadas, e o custo do terreno, das construções e das benfeitorias de outros imóveis. Esses valores constituem o capital da empresa individual para fins de determinação da manutenção do capital de giro dedutível do lucro tributável."
O que é cisão de uma sociedade?,"A cisão é a operação pela qual a sociedade transfere todo ou somente uma parcela do seu patrimônio para uma ou mais sociedades, constituídas para esse fim ou já existentes, extinguindo-se a sociedade cindida, se houver versão de todo o seu patrimônio, ou dividindo-se o seu capital, se parcial a versão.","A cisão é a operação pela qual uma companhia transfere parcelas do seu patrimônio para uma ou mais sociedades, constituídas para esse fim ou já existentes, extinguindo-se a companhia cindida, se houver versão de todo o seu patrimônio, ou dividindo-se o seu capital, se parcial a versão."
