Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","Estão desobrigadas de apresentar a ECF as pessoas jurídicas optantes pelo Simples Nacional, os órgãos públicos, as autarquias, as fundações públicas e as pessoas jurídicas inativas, entendendo-se como inativas aquelas que não realizaram qualquer atividade operacional, não operacional, patrimonial ou financeira, incluindo aplicações no mercado financeiro ou de capitais, durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","A apresentação de ECF retificadora com valores de IRPJ e CSLL diferentes dos originalmente declarados pode gerar efeitos tributários relacionados à restituição, ao reembolso ou à compensação desses tributos administrados pela RFB. 

Se a retificação resultar em valores a restituir, a reembolsar ou a compensar, o crédito relativo a esses tributos será acrescido de juros equivalentes à taxa Selic para títulos federais, acumulados mensalmente, e de juros adicionais de 1% (um por cento). 

Esse acréscimo de 1% incidirá no mês em que:
- A quantia for disponibilizada ao sujeito passivo (no caso de restituição apurada em declaração de rendimentos da pessoa física, no mês em que o recurso for disponibilizado no banco ou instituição de pagamento; nos demais casos, no mês da efetivação da restituição);
- For entregue a declaração de compensação ou for efetivada a compensação na GFIP;
- For considerada efetuada a compensação de ofício, conforme a data definida nos incisos I e II do art. 96."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção independe de reconhecimento prévio."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","A pessoa física é equiparada à pessoa jurídica nas seguintes hipóteses:

1. Quando constituída como empresário nos termos do Código Civil;
2. Quando explora, habitual e profissionalmente, em nome individual, qualquer atividade econômica de natureza civil ou comercial com fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços;
3. Quando promove a incorporação de prédios em condomínio ou loteamento de terrenos.

Essa equiparação não se aplica às pessoas físicas que exercem individualmente as seguintes atividades ou profissões:

- Médico, engenheiro, advogado, dentista, veterinário, professor, economista, contador, jornalista, pintor, escritor, escultor e assemelhadas;
- Profissões, ocupações e prestação de serviços não comerciais;
- Agentes, representantes e outras pessoas sem vínculo empregatício que participam de atos de comércio, mas não os praticam por conta própria;
- Serventuários da Justiça, como tabeliães, notários e oficiais públicos;
- Corretores, leiloeiros, despachantes, seus prepostos e adjuntos;
- Exploração individual de contratos de empreitada unicamente de lavor (trabalhos arquitetônicos, topográficos, terraplenagem, construções de alvenaria, serviços de utilidade pública, entre outros congêneres);
- Exploração de obras artísticas, didáticas, científicas, urbanísticas e projetos técnicos, exceto quando não explorados diretamente pelo autor ou criador."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Sim, os condôminos pessoas físicas na propriedade de imóveis estão sujeitos à equiparação como pessoa jurídica. A cada condômino pessoa física são aplicados os critérios de caracterização de empresa individual e os demais dispositivos legais, como se ele fosse o único titular da operação imobiliária, nos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é aquela em que for celebrado o contrato inicial da operação imobiliária correspondente, ainda que por meio de instrumento particular. 

Para que a data constante de instrumento particular seja aceita pela autoridade fiscal, quando favorável aos interesses da pessoa física, é necessário que seja atendida, no mínimo, uma das seguintes condições:

- O instrumento tiver sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data nele constante;
- Houver conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
- Houver conformidade com lançamentos contábeis da pessoa jurídica, observados os preceitos para escrituração em vigor;
- Houver menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos.

Adicionalmente, o Ministro de Estado da Fazenda poderá estabelecer outros critérios para a aceitação dessa data."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.",Mais de duas unidades imobiliárias ou a execução de loteamento.
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Em caso de alteração das normas, a legislação que prevalecerá será aquela em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento. A alteração posterior das normas não atingirá as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias não pode ser mantido como lucros suspensos na escrituração. Esse lucro é considerado automaticamente distribuído no período de apuração, após a dedução da provisão para o imposto sobre a renda e da CSLL."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.",O término da equiparação é considerado ocorrido ao final do prazo de trinta e seis meses consecutivos sem a efetivação de qualquer empreendimento ou alienação.
"Qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da  empresa individual quando, completado o prazo de 36 (trinta e seis) meses  consecutivos sem promover incorporações ou loteamentos, ocorrer o término  da equiparação à pessoa jurídica?","Permanecerão no ativo da empresa individual, para efeito de tributação como lucro da pessoa jurídica: a) as unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, até sua alienação e, após esta, o saldo a receber, até o recebimento total do preço; b) o saldo a receber do preço dos imóveis então alienados, até seu recebimento total.",Os imóveis permanecerão no ativo da empresa individual até a sua alienação e o recebimento total do preço.
Como determinar o capital da empresa individual no caso de pessoa física  equiparada por prática de operações imobiliárias?,"O capital da empresa individual, no início de cada período de apuração (trimestral ou anual), será representado pela soma dos valores dos imóveis constantes do seu ativo com os valores a receber relativos ao custo dos imóveis já vendidos em períodos de apuração anteriores.","O capital da empresa individual no início de cada exercício será determinado pelos recursos efetivamente investidos pela pessoa física titular em qualquer época nos imóveis (como o custo do terreno, glebas de terra, construções e benfeitorias), acrescidos da correção monetária incidente sobre esses custos, com base na variação do valor das Obrigações Reajustáveis do Tesouro Nacional, desde a época de cada pagamento até a data da equiparação."
O que é cisão de uma sociedade?,"A cisão é a operação pela qual a sociedade transfere todo ou somente uma parcela do seu patrimônio para uma ou mais sociedades, constituídas para esse fim ou já existentes, extinguindo-se a sociedade cindida, se houver versão de todo o seu patrimônio, ou dividindo-se o seu capital, se parcial a versão.","A cisão é a operação pela qual uma companhia transfere parcelas do seu patrimônio para uma ou mais sociedades, constituídas para esse fim ou já existentes. Se houver versão de todo o seu patrimônio, a companhia cindida se extingue; se a versão for parcial, o seu capital é dividido."
Como proceder com relação à sociedade cindida?,"Efetivada a cisão com extinção da sociedade cindida, caberá aos administradores das sociedades que tiverem absorvido parcelas do seu patrimônio promover o arquivamento e a publicação dos atos da operação. Na cisão com versão parcial do patrimônio esta obrigação caberá aos administradores da companhia cindida e da que absorver parcela do seu patrimônio.","Em caso de cisão total, a sociedade cindida será extinta, e as sociedades que absorverem as parcelas do patrimônio sucederão a companhia extinta nos direitos e obrigações não relacionados no ato, na proporção dos patrimônios líquidos transferidos. Se a versão do patrimônio for parcial, o capital da sociedade cindida será dividido, e a sociedade que absorver a parcela do patrimônio sucederá a cindida nos direitos e obrigações relacionados no ato da cisão."
Quais são os contribuintes do imposto de renda da pessoa jurídica?,"São contribuintes e, portanto, estão sujeitas ao pagamento do imposto de renda da pessoa jurídica as pessoas jurídicas e as pessoas físicas a elas equiparadas, domiciliadas no País.","Os contribuintes do imposto sobre a renda são as pessoas jurídicas e as empresas individuais. A regra aplica-se independentemente de a pessoa jurídica estar regularmente constituída, bastando que configure uma unidade econômica ou profissional. Também se sujeitam às normas de incidência aplicáveis às pessoas jurídicas:

- As entidades submetidas aos regimes de liquidação extrajudicial e de falência;
- As empresas públicas, as sociedades de economia mista e suas subsidiárias;
- As sociedades cooperativas de consumo que tenham por objeto a compra e o fornecimento de bens aos consumidores;
- O fundo de investimento imobiliário nas condições previstas em lei."
