Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","As pessoas jurídicas optantes pelo Simples Nacional, os órgãos públicos, as autarquias, as fundações públicas e as pessoas jurídicas inativas estão desobrigadas de apresentar a ECF."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","A questão apresentada não está diretamente relacionada com o artigo 148 fornecido. No entanto, em geral, se a ECF (Escrituração Contábil Fiscal) retificadora apresentar valores diferentes para IRPJ (Imposto de Renda da Pessoa Jurídica) e CSLL (Contribuição Social sobre o Lucro Líquido) do que os inicialmente declarados, pode haver consequências tributárias. Isso pode resultar em ajustes nos valores devidos, possíveis multas por declaração incorreta e a necessidade de recálculo dos juros de mora, se aplicável. Além disso, essas alterações podem afetar o direito à restituição ou reembolso de tributos, conforme descrito no artigo 148."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, as isenções não dependem de reconhecimento prévio, exceto na hipótese prevista no art. 187, onde a isenção será reconhecida pela Secretaria da Receita Federal do Brasil do Ministério da Fazenda."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","As pessoas físicas são equiparadas a pessoas jurídicas quando:

I - São constituídas na forma estabelecida no art. 966 ao art. 969 da Lei nº 10.406, de 2002 - Código Civil;

II - Explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços;

III - Promovam a incorporação de prédios em condomínio ou loteamento de terrenos, nos termos estabelecidos na Seção II deste Capítulo.

No entanto, esta equiparação não se aplica às pessoas físicas que individualmente exerçam as profissões ou atividades como médico, engenheiro, advogado, dentista, veterinário, professor, economista, contador, jornalista, pintor, escritor, escultor e outras assemelhadas; profissões, ocupações e prestação de serviços não comerciais; agentes, representantes e outras pessoas sem vínculo empregatício que, ao tomar parte em atos de comércio, não os pratiquem por conta própria; serventuários da Justiça, como tabeliães, notários, oficiais públicos, entre outros; corretores, leiloeiros e despachantes, seus prepostos e seus adjuntos; exploração individual de contratos de empreitada unicamente de lavor, de qualquer natureza; exploração de obras artísticas, didáticas, científicas, urbanísticas, projetos técnicos de construção, instalações ou equipamentos, exceto quando não explorados diretamente pelo autor ou pelo criador do bem ou da obra."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condôminos na propriedade de imóveis não são considerados como pessoa jurídica. Eles são tratados como se fossem titulares individuais da operação imobiliária, nos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação de um imóvel é considerada aquela em que o contrato inicial da operação imobiliária é celebrado, mesmo que através de um instrumento particular. Para que a data constante em um instrumento particular seja aceita, deve-se atender a pelo menos uma das seguintes condições: o instrumento deve ter sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias a contar da data nele constante; deve haver conformidade com cheque nominativo pago no prazo de trinta dias a contar da data do instrumento; deve haver conformidade com lançamentos contábeis da pessoa jurídica, respeitando os preceitos para escrituração em vigor; ou deve haver menção expressa à operação nas declarações de bens da parte interessada, apresentadas oportunamente à repartição competente, juntamente com as declarações de rendimentos."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação de uma pessoa física à pessoa jurídica, para fins de tributação, ocorre quando o indivíduo promove a construção de um prédio com mais de duas unidades imobiliárias ou executa um loteamento e inicia a venda das unidades antes do prazo de sessenta meses, contado da data da averbação no Registro Imobiliário."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","A legislação que prevalecerá será aquela que estava em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento. As alterações posteriores nas normas não afetarão as operações imobiliárias já realizadas ou os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias não pode ser mantido como lucros suspensos na escrituração, pois é considerado automaticamente distribuído no período de apuração. Além disso, a partir de 1º de janeiro de 1996, esses lucros não são mais sujeitos à incidência do imposto sobre a renda na fonte, nem integram a base de cálculo do imposto sobre a renda do titular da empresa individual."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","A pessoa física deixará de ser considerada equiparada a pessoa jurídica a partir do término de um prazo de trinta e seis meses consecutivos, caso durante este período não promova nenhum empreendimento nem efetue nenhuma alienação de unidades imobiliárias ou lotes de terreno."
