pergunta_norm,pergunta,claude-opus-4-6,deepseek-ai_deepseek-v4-flash,gemini-3-pro-preview,google_gemma-4-31b-it,gpt-5.1,meta_llama-3.3-70b-instruct,mistralai_mixtral-8x22b-instruct-v0.1,openai_gpt-oss-120b,qwen2-72B-Instruct,qwen_qwen3.5-122b-a10b,z-ai_glm-5.1
a absorção na escrituração comercial de prejuízos contábeis impede a compensação dos prejuízos fiscais?,A absorção na escrituração comercial de prejuízos contábeis impede a  compensação dos prejuízos fiscais?,C,P,I,I,C,I,P,P,P,C,P
a base de cálculo negativa da csll poderá ser compensada com resultados apurados em períodos subsequentes?,A base de cálculo negativa da CSLL poderá ser compensada com resultados  apurados em períodos subsequentes?,C,C,C,C,C,C,C,C,C,C,C
a isenção do irpj depende de prévio reconhecimento pela secretaria especial da receita federal do brasil?,A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,P,C,I,I,P,I,C,P,I,C,C
"a pessoa jurídica optante pelo lucro presumido que mantiver escrituração regular e apurar lucro contábil poderá utilizá-lo como reserva livre para aumento de capital, sem ônus tributário (voltando ou não à tributação pelo lucro real)?","A pessoa jurídica optante pelo lucro presumido que mantiver escrituração  regular e apurar lucro contábil poderá utilizá-lo como reserva livre para aumento  de capital, sem ônus tributário (voltando ou não à tributação pelo lucro real)?",I,I,I,I,P,I,I,I,I,I,I
"a pessoa jurídica que explora atividade rural e que tenha utilizado o benefício fiscal da depreciação incentivada, ao mudar para o regime de tributação do lucro presumido ou arbitrado deve adicionar à base de cálculo do imposto de renda o saldo dessa depreciação?","A pessoa jurídica que explora atividade rural e que tenha utilizado o benefício  fiscal da depreciação incentivada, ao mudar para o regime de tributação do lucro  presumido ou arbitrado deve adicionar à base de cálculo do imposto de renda o  saldo dessa depreciação?",I,I,I,I,I,I,I,I,I,I,I
a pessoa jurídica que optar pelo lucro presumido poderá em algum período de apuração trimestral ser tributada com base no lucro real?,A pessoa jurídica que optar pelo lucro presumido poderá em algum período de  apuração trimestral ser tributada com base no lucro real?,C,C,C,C,C,C,C,C,C,C,C
"a pessoa jurídica que tiver prejuízo fiscal de períodos de apuração anteriores devidamente apurado e controlado no lalur, vindo a se submeter à tributação utilizando-se de outra base que não a do lucro real, perderá o direito de compensar este prejuízo?","A pessoa jurídica que tiver prejuízo fiscal de períodos de apuração anteriores  devidamente apurado e controlado no Lalur, vindo a se submeter à tributação  utilizando-se de outra base que não a do lucro real, perderá o direito de  compensar este prejuízo?",P,I,C,C,C,C,P,I,C,C,C
a variação cambial acrescida aos juros calculados com base na taxa libor são considerados dedutíveis na apuração do lucro real?,A variação cambial acrescida aos juros calculados com base na taxa LIBOR são  considerados dedutíveis na apuração do lucro real?,C,C,C,C,C,C,C,C,C,C,C
"as disposições contidas na instrução normativa srf nº 11, de 10 de fevereiro de 1999, eram aplicadas somente às operações de incorporação, fusão e cisão, ocorridas até 31 de dezembro de 2017, cuja participação societária tenha sido adquirida até 31 de dezembro de 2014, desde que o processo de aquisição tenha sido iniciado até 31 de dezembro de 2014. neste sentido, o que pode ser entendido como início do processo de aquisição?","As disposições contidas na Instrução Normativa SRF nº 11, de 10 de fevereiro  de 1999, eram aplicadas somente às operações de incorporação, fusão e cisão,  ocorridas até 31 de dezembro de 2017, cuja participação societária tenha sido  adquirida até 31 de dezembro de 2014, desde que o processo de aquisição  tenha sido iniciado até 31 de dezembro de 2014. Neste sentido, o que pode ser  entendido como início do processo de aquisição?",I,P,I,I,I,I,I,I,I,I,P
as sociedades por ações poderão ter quantos conselheiros fiscais?,As sociedades por ações poderão ter quantos conselheiros fiscais?,C,C,C,C,C,C,C,C,C,C,C
