Q,A,A_model,modelo_avaliado,prompt_version,gpt_judge_score_0_5,gpt_judge_score_normalizado,gpt_judge_categoria,gpt_judge_raciocinio,gpt_judge_raw,gpt_judge_erro,gemini_judge_score_0_5,gemini_judge_score_normalizado,gemini_judge_categoria,gemini_judge_raciocinio,gemini_judge_raw,gemini_judge_erro,claude_judge_score_0_5,claude_judge_score_normalizado,claude_judge_categoria,claude_judge_raciocinio,claude_judge_raw,claude_judge_erro,score_oficial_0_5,score_oficial_normalizado,resultado_oficial,regra_decisao,scores_julgadores,categorias_julgadores,desvio_score_entre_julgadores
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","As pessoas jurídicas desobrigadas de apresentar a ECF são:

- as optantes pelo Simples Nacional;
- os órgãos públicos, autarquias e fundações públicas;
- as pessoas jurídicas inativas (que não tenham realizado qualquer atividade operacional, não operacional, patrimonial ou financeira durante todo o ano-calendário).",deepseek-ai_deepseek-v4-flash,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente as três hipóteses de desobrigação (Simples Nacional, órgãos/autarquias/fundações públicas e pessoas jurídicas inativas) sem alterar o sentido jurídico; apenas sintetiza o conceito de inatividade, sem contradições relevantes.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente as três hipóteses de desobrigação (Simples Nacional, órgãos/autarquias/fundações públicas e pessoas jurídicas inativas) sem alterar o sentido jurídico; apenas sintetiza o conceito de inatividade, sem contradições relevantes.""}",,5.0,1.0,CORRETO,"A resposta da IA está perfeitamente alinhada com a do especialista, listando corretamente as três hipóteses de desobrigação sem contradições.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA está perfeitamente alinhada com a do especialista, listando corretamente as três hipóteses de desobrigação sem contradições.""}",,5.0,1.0,CORRETO,"A resposta da IA cobre corretamente as três hipóteses de desobrigação de apresentação da ECF (Simples Nacional, órgãos públicos/autarquias/fundações públicas e pessoas jurídicas inativas), sem contradição com a resposta especialista. A omissão de detalhes sobre a DASN e obrigações acessórias não prejudica a resposta, pois não era essencial para responder à questão.","{""id"": 0, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre corretamente as três hipóteses de desobrigação de apresentação da ECF (Simples Nacional, órgãos públicos/autarquias/fundações públicas e pessoas jurídicas inativas), sem contradição com a resposta especialista. A omissão de detalhes sobre a DASN e obrigações acessórias não prejudica a resposta, pois não era essencial para responder à questão.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","A informação fornecida trata exclusivamente de créditos tributários administrados pela RFB, juros Selic e procedimentos de restituição, reembolso ou compensação. Não há nela qualquer disposição sobre os efeitos tributários de uma ECF retificadora que altere valores de IRPJ e CSLL. Portanto, não é possível responder à pergunta com base no contexto apresentado.",deepseek-ai_deepseek-v4-flash,prompt,0.0,0.0,INCORRETO,"A resposta especialista descreve claramente os efeitos tributários quando a ECF retificadora apura IRPJ/CSLL maior ou menor, incluindo compensação, restituição e juros Selic. A IA afirma que não é possível responder com base no contexto, negando a própria informação fornecida. Há contradição direta e omissão total do conteúdo jurídico aplicável.","{""id"": 1, ""score"": 0, ""raciocinio"": ""A resposta especialista descreve claramente os efeitos tributários quando a ECF retificadora apura IRPJ/CSLL maior ou menor, incluindo compensação, restituição e juros Selic. A IA afirma que não é possível responder com base no contexto, negando a própria informação fornecida. Há contradição direta e omissão total do conteúdo jurídico aplicável.""}",,0.0,0.0,INCORRETO,"A resposta da IA falha em responder à questão, alegando falta de contexto, enquanto a resposta do especialista fornece a explicação tributária correta.","{""id"": 1, ""score"": 0, ""raciocinio"": ""A resposta da IA falha em responder à questão, alegando falta de contexto, enquanto a resposta do especialista fornece a explicação tributária correta.""}",,0.0,0.0,INCORRETO,"A resposta da IA nega a possibilidade de responder à questão, afirmando que não há disposição sobre os efeitos tributários de ECF retificadora. Isso contradiz diretamente a resposta especialista, que fornece informações claras sobre os efeitos (acréscimos quando maior, compensação/restituição com juros Selic quando menor). A IA recusa-se a responder quando deveria ter fornecido as informações solicitadas.","{""id"": 1, ""score"": 0, ""raciocinio"": ""A resposta da IA nega a possibilidade de responder à questão, afirmando que não há disposição sobre os efeitos tributários de ECF retificadora. Isso contradiz diretamente a resposta especialista, que fornece informações claras sobre os efeitos (acréscimos quando maior, compensação/restituição com juros Selic quando menor). A IA recusa-se a responder quando deveria ter fornecido as informações solicitadas.""}",,0.0,0.0,INCORRETO,media_dos_scores_validos,"{""gpt"": 0.0, ""gemini"": 0.0, ""claude"": 0.0}","{""gpt"": ""INCORRETO"", ""gemini"": ""INCORRETO"", ""claude"": ""INCORRETO""}",0.0
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção do IRPJ independe de reconhecimento prévio, conforme o caput do art. 192. A exigência de reconhecimento pela Receita Federal se aplica apenas à hipótese específica do art. 187, e mesmo nesse caso, não gera direito à restituição.",deepseek-ai_deepseek-v4-flash,prompt,4.0,0.8,CORRETO,"A IA acerta o ponto principal: a isenção do IRPJ independe de prévio reconhecimento pela Receita. Acrescenta referência ao art. 192 e uma ressalva sobre o art. 187 que não contrariam a resposta do especialista, mas introduzem detalhe não pedido e potencialmente desnecessário para a questão específica.","{""id"": 2, ""score"": 4, ""raciocinio"": ""A IA acerta o ponto principal: a isenção do IRPJ independe de prévio reconhecimento pela Receita. Acrescenta referência ao art. 192 e uma ressalva sobre o art. 187 que não contrariam a resposta do especialista, mas introduzem detalhe não pedido e potencialmente desnecessário para a questão específica.""}",,5.0,1.0,CORRETO,A resposta da IA responde corretamente que independe de reconhecimento prévio e traz informações adicionais corretas que não contradizem o especialista.,"{""id"": 2, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente que independe de reconhecimento prévio e traz informações adicionais corretas que não contradizem o especialista.""}",,4.0,0.8,CORRETO,"A resposta da IA responde corretamente que a isenção do IRPJ independe de reconhecimento prévio, alinhando-se com a resposta especialista. Porém, adiciona informações sobre os artigos 192 e 187 que não constam da resposta especialista, gerando certa confusão desnecessária sobre o escopo da questão, embora não contradiga o ponto principal.","{""id"": 2, ""score"": 4, ""raciocinio"": ""A resposta da IA responde corretamente que a isenção do IRPJ independe de reconhecimento prévio, alinhando-se com a resposta especialista. Porém, adiciona informações sobre os artigos 192 e 187 que não constam da resposta especialista, gerando certa confusão desnecessária sobre o escopo da questão, embora não contradiga o ponto principal.""}",,4.333333333333333,0.8666666666666666,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","As pessoas físicas são equiparadas a pessoas jurídicas nas seguintes hipóteses:

1. Quando são empresários constituídos na forma dos artigos 966 a 969 do Código Civil.
2. Quando exploram, em nome individual, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços.
3. Quando promovem a incorporação de prédios em condomínio ou loteamento de terrenos, nos termos da legislação específica.",deepseek-ai_deepseek-v4-flash,prompt,4.0,0.8,CORRETO,"A IA contempla as duas hipóteses centrais da resposta especialista (exploração habitual e profissional de atividade econômica com fim lucrativo e incorporação/loteamento), mas acrescenta, como item autônomo, a condição de ser empresário constituído nos termos do Código Civil, o que não consta na resposta especialista e pode gerar leve confusão quanto ao critério de equiparação. Ainda assim, o núcleo jurídico está correto e alinhado.","{""id"": 3, ""score"": 4, ""raciocinio"": ""A IA contempla as duas hipóteses centrais da resposta especialista (exploração habitual e profissional de atividade econômica com fim lucrativo e incorporação/loteamento), mas acrescenta, como item autônomo, a condição de ser empresário constituído nos termos do Código Civil, o que não consta na resposta especialista e pode gerar leve confusão quanto ao critério de equiparação. Ainda assim, o núcleo jurídico está correto e alinhado.""}",,5.0,1.0,CORRETO,"A resposta da IA abrange as hipóteses mencionadas pelo especialista e adiciona a previsão do Código Civil, o que está correto e não gera confusão jurídica.","{""id"": 3, ""score"": 5, ""raciocinio"": ""A resposta da IA abrange as hipóteses mencionadas pelo especialista e adiciona a previsão do Código Civil, o que está correto e não gera confusão jurídica.""}",,4.0,0.8,CORRETO,"A resposta da IA identifica corretamente as hipóteses de equiparação (exploração habitual e profissional de atividade econômica e incorporação/loteamento), alinhando-se com a resposta especialista. A menção ao Código Civil (artigos 966-969) é uma referência adicional válida, mas a resposta poderia ser mais precisa ao mencionar especificamente 'empresa individual' como termo técnico utilizado na legislação tributária.","{""id"": 3, ""score"": 4, ""raciocinio"": ""A resposta da IA identifica corretamente as hipóteses de equiparação (exploração habitual e profissional de atividade econômica e incorporação/loteamento), alinhando-se com a resposta especialista. A menção ao Código Civil (artigos 966-969) é uma referência adicional válida, mas a resposta poderia ser mais precisa ao mencionar especificamente 'empresa individual' como termo técnico utilizado na legislação tributária.""}",,4.333333333333333,0.8666666666666666,CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 5.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condomínios na propriedade de imóveis não são considerados sociedades em comum, e cada condômino pessoa física é tratado como se fosse o único titular da operação imobiliária, nos limites de sua participação, sem equiparação a pessoa jurídica.",deepseek-ai_deepseek-v4-flash,prompt,3.0,0.6,PARCIALMENTE_CORRETO,"O especialista esclarece que o condomínio não é sociedade em comum e que cada condômino pessoa física será analisado individualmente quanto à equiparação como empresa individual. A IA responde que não há equiparação a pessoa jurídica e repete a ideia de tratamento individual, mas a redação final ""sem equiparação a pessoa jurídica"" pode induzir a entender que não há qualquer equiparação possível, o que conflita parcialmente com a orientação de aplicar os critérios de empresa individual a cada condômino.","{""id"": 4, ""score"": 3, ""raciocinio"": ""O especialista esclarece que o condomínio não é sociedade em comum e que cada condômino pessoa física será analisado individualmente quanto à equiparação como empresa individual. A IA responde que não há equiparação a pessoa jurídica e repete a ideia de tratamento individual, mas a redação final \""sem equiparação a pessoa jurídica\"" pode induzir a entender que não há qualquer equiparação possível, o que conflita parcialmente com a orientação de aplicar os critérios de empresa individual a cada condômino.""}",,1.0,0.2,INCORRETO,"A resposta da IA acerta ao dizer que não são sociedades em comum e que são tratados individualmente, mas erra gravemente na conclusão ao afirmar 'sem equiparação a pessoa jurídica', contradizendo a regra de que os condôminos podem ser equiparados individualmente.","{""id"": 4, ""score"": 1, ""raciocinio"": ""A resposta da IA acerta ao dizer que não são sociedades em comum e que são tratados individualmente, mas erra gravemente na conclusão ao afirmar 'sem equiparação a pessoa jurídica', contradizendo a regra de que os condôminos podem ser equiparados individualmente.""}",,5.0,1.0,CORRETO,"A resposta da IA responde corretamente que condomínios não são considerados sociedades em comum e que cada condômino é tratado individualmente, sem equiparação automática. Alinha-se perfeitamente com a resposta especialista, fornecendo a informação essencial de forma clara e concisa.","{""id"": 4, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente que condomínios não são considerados sociedades em comum e que cada condômino é tratado individualmente, sem equiparação automática. Alinha-se perfeitamente com a resposta especialista, fornecendo a informação essencial de forma clara e concisa.""}",,3.0,0.6,PARCIALMENTE_CORRETO,media_dos_scores_validos,"{""gpt"": 3.0, ""gemini"": 1.0, ""claude"": 5.0}","{""gpt"": ""PARCIALMENTE_CORRETO"", ""gemini"": ""INCORRETO"", ""claude"": ""CORRETO""}",2.0
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é aquela em que for celebrado o contrato inicial da operação imobiliária correspondente, ainda que por meio de instrumento particular. Para que a data constante de instrumento particular seja aceita pela autoridade fiscal, é necessário que seja atendida, no mínimo, uma das seguintes condições: I - o instrumento tenha sido registrado no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias contado da data dele constante; II - haja conformidade com cheque nominativo pago no prazo de trinta dias contado da data do instrumento; III - haja conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; ou IV - haja menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos.",deepseek-ai_deepseek-v4-flash,prompt,5.0,1.0,CORRETO,"A IA reproduz integralmente o critério de data (contrato inicial, ainda que particular) e as quatro condições alternativas para aceitação da data em instrumento particular, com o mesmo conteúdo jurídico da resposta especialista, sem omissões relevantes ou contradições.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A IA reproduz integralmente o critério de data (contrato inicial, ainda que particular) e as quatro condições alternativas para aceitação da data em instrumento particular, com o mesmo conteúdo jurídico da resposta especialista, sem omissões relevantes ou contradições.""}",,5.0,1.0,CORRETO,A resposta da IA reproduz com exatidão a data considerada e todas as condições listadas pelo especialista para a aceitação do instrumento particular.,"{""id"": 5, ""score"": 5, ""raciocinio"": ""A resposta da IA reproduz com exatidão a data considerada e todas as condições listadas pelo especialista para a aceitação do instrumento particular.""}",,5.0,1.0,CORRETO,"A resposta da IA cobre todos os elementos essenciais da resposta especialista: data do contrato inicial, as quatro condições para aceitação pela autoridade fiscal (registro imobiliário, cheque nominativo, lançamentos contábeis e menção em declarações de bens). As informações estão alinhadas e completas, sem contradições.","{""id"": 5, ""score"": 5, ""raciocinio"": ""A resposta da IA cobre todos os elementos essenciais da resposta especialista: data do contrato inicial, as quatro condições para aceitação pela autoridade fiscal (registro imobiliário, cheque nominativo, lançamentos contábeis e menção em declarações de bens). As informações estão alinhadas e completas, sem contradições.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","Para que haja a equiparação da pessoa física à pessoa jurídica, não é exigido um quantitativo mínimo de operações imobiliárias. A equiparação ocorre quando o proprietário ou titular de terrenos ou glebas, sem registrar os documentos de incorporação ou loteamento, promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento e inicia a alienação dessas unidades ou lotes antes de decorridos sessenta meses da averbação da construção ou aceitação das obras. A alienação é caracterizada por qualquer ajuste preliminar, inclusive simples recebimento de reserva.",deepseek-ai_deepseek-v4-flash,prompt,4.0,0.8,CORRETO,"A IA explica corretamente que a equiparação decorre da construção de prédio com mais de duas unidades ou loteamento sem registro e da alienação antes de 60 meses, e menciona que qualquer ajuste preliminar caracteriza alienação. Contudo, omite o prazo diferenciado de 36 meses para terrenos adquiridos até 30/06/1977, que é juridicamente relevante, e afirma genericamente que não há quantitativo mínimo de operações, o que pode gerar leve imprecisão em relação ao critério de ""mais de 2 unidades"".","{""id"": 6, ""score"": 4, ""raciocinio"": ""A IA explica corretamente que a equiparação decorre da construção de prédio com mais de duas unidades ou loteamento sem registro e da alienação antes de 60 meses, e menciona que qualquer ajuste preliminar caracteriza alienação. Contudo, omite o prazo diferenciado de 36 meses para terrenos adquiridos até 30/06/1977, que é juridicamente relevante, e afirma genericamente que não há quantitativo mínimo de operações, o que pode gerar leve imprecisão em relação ao critério de \""mais de 2 unidades\"".""}",,3.0,0.6,PARCIALMENTE_CORRETO,"A resposta da IA é contraditória e confusa, pois inicia afirmando que 'não é exigido um quantitativo mínimo', mas logo em seguida menciona a regra correta de 'mais de duas unidades imobiliárias'.","{""id"": 6, ""score"": 3, ""raciocinio"": ""A resposta da IA é contraditória e confusa, pois inicia afirmando que 'não é exigido um quantitativo mínimo', mas logo em seguida menciona a regra correta de 'mais de duas unidades imobiliárias'.""}",,4.0,0.8,CORRETO,"A resposta da IA fornece informações corretas sobre a equiparação (mais de duas unidades, prazo de 60 meses), mas omite a menção ao prazo diferenciado de 36 meses para terrenos adquiridos até 30 de junho de 1977, que consta da resposta especialista. Adiciona informação sobre 'ajuste preliminar' que não prejudica, mas não era essencial.","{""id"": 6, ""score"": 4, ""raciocinio"": ""A resposta da IA fornece informações corretas sobre a equiparação (mais de duas unidades, prazo de 60 meses), mas omite a menção ao prazo diferenciado de 36 meses para terrenos adquiridos até 30 de junho de 1977, que consta da resposta especialista. Adiciona informação sobre 'ajuste preliminar' que não prejudica, mas não era essencial.""}",,3.6666666666666665,0.7333333333333333,PARCIALMENTE_CORRETO,media_dos_scores_validos,"{""gpt"": 4.0, ""gemini"": 3.0, ""claude"": 4.0}","{""gpt"": ""CORRETO"", ""gemini"": ""PARCIALMENTE_CORRETO"", ""claude"": ""CORRETO""}",0.5773502691896258
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","A legislação que deverá prevalecer é a que estava em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento, não sendo atingidas pelas alterações posteriores as operações já realizadas ou os empreendimentos com documentação já arquivada.",deepseek-ai_deepseek-v4-flash,prompt,5.0,1.0,CORRETO,"A IA mantém o conteúdo essencial: prevalece a legislação vigente na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e alterações posteriores não atingem operações já realizadas nem empreendimentos com documentação arquivada. A síntese é fiel e suficiente.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A IA mantém o conteúdo essencial: prevalece a legislação vigente na data do instrumento inicial de alienação ou do arquivamento da incorporação/loteamento, e alterações posteriores não atingem operações já realizadas nem empreendimentos com documentação arquivada. A síntese é fiel e suficiente.""}",,5.0,1.0,CORRETO,"A resposta da IA está totalmente correta e alinhada com o especialista, confirmando que prevalece a legislação da data do instrumento inicial ou arquivamento.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA está totalmente correta e alinhada com o especialista, confirmando que prevalece a legislação da data do instrumento inicial ou arquivamento.""}",,5.0,1.0,CORRETO,"A resposta da IA responde corretamente que a legislação vigente na data do instrumento inicial ou do arquivamento é a que prevalece, e que alterações posteriores não atingem operações já realizadas. Alinha-se perfeitamente com a resposta especialista, sem omissões relevantes.","{""id"": 7, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente que a legislação vigente na data do instrumento inicial ou do arquivamento é a que prevalece, e que alterações posteriores não atingem operações já realizadas. Alinha-se perfeitamente com a resposta especialista, sem omissões relevantes.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não. O lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias é considerado automaticamente distribuído no período de apuração, não podendo ser mantido como lucros suspensos na escrituração.",deepseek-ai_deepseek-v4-flash,prompt,5.0,1.0,CORRETO,"A IA responde que o lucro não pode ser mantido como lucros suspensos e é automaticamente distribuído no período de apuração, o que coincide com a resposta especialista, apenas sem mencionar a dedução da provisão para IRPJ, ponto acessório para a pergunta formulada.","{""id"": 8, ""score"": 5, ""raciocinio"": ""A IA responde que o lucro não pode ser mantido como lucros suspensos e é automaticamente distribuído no período de apuração, o que coincide com a resposta especialista, apenas sem mencionar a dedução da provisão para IRPJ, ponto acessório para a pergunta formulada.""}",,5.0,1.0,CORRETO,A resposta da IA responde de forma direta e correta que o lucro não pode ser mantido suspenso e é considerado automaticamente distribuído. A omissão sobre a provisão do IRPJ não compromete o sentido jurídico da resposta.,"{""id"": 8, ""score"": 5, ""raciocinio"": ""A resposta da IA responde de forma direta e correta que o lucro não pode ser mantido suspenso e é considerado automaticamente distribuído. A omissão sobre a provisão do IRPJ não compromete o sentido jurídico da resposta.""}",,5.0,1.0,CORRETO,"A resposta da IA responde corretamente que o lucro não pode ser mantido como lucros suspensos, sendo considerado automaticamente distribuído. Alinha-se perfeitamente com a resposta especialista, fornecendo a informação essencial de forma clara.","{""id"": 8, ""score"": 5, ""raciocinio"": ""A resposta da IA responde corretamente que o lucro não pode ser mantido como lucros suspensos, sendo considerado automaticamente distribuído. Alinha-se perfeitamente com a resposta especialista, fornecendo a informação essencial de forma clara.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre após o decurso de trinta e seis meses consecutivos sem que a pessoa física promova nenhum dos empreendimentos ou efetue nenhuma das alienações referidas no inciso I do caput do art. 173, a partir do término desse prazo, exceto quanto aos efeitos tributários das operações em andamento.",deepseek-ai_deepseek-v4-flash,prompt,5.0,1.0,CORRETO,"A IA reproduz corretamente o prazo de 36 meses consecutivos sem empreendimentos ou alienações e o efeito de término da equiparação a partir do fim desse prazo, ressalvando os efeitos tributários das operações em andamento. A referência ao art. 173 não altera o sentido jurídico em relação ao especialista.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A IA reproduz corretamente o prazo de 36 meses consecutivos sem empreendimentos ou alienações e o efeito de término da equiparação a partir do fim desse prazo, ressalvando os efeitos tributários das operações em andamento. A referência ao art. 173 não altera o sentido jurídico em relação ao especialista.""}",,5.0,1.0,CORRETO,"A resposta da IA está perfeitamente alinhada com a do especialista, indicando o prazo de 36 meses e a exceção para operações em andamento.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A resposta da IA está perfeitamente alinhada com a do especialista, indicando o prazo de 36 meses e a exceção para operações em andamento.""}",,5.0,1.0,CORRETO,"A resposta da IA identifica corretamente o prazo de 36 meses consecutivos sem alienações ou empreendimentos para término da equiparação, e menciona a ressalva quanto aos efeitos tributários das operações em andamento. Alinha-se com a resposta especialista.","{""id"": 9, ""score"": 5, ""raciocinio"": ""A resposta da IA identifica corretamente o prazo de 36 meses consecutivos sem alienações ou empreendimentos para término da equiparação, e menciona a ressalva quanto aos efeitos tributários das operações em andamento. Alinha-se com a resposta especialista.""}",,5.0,1.0,CORRETO,media_dos_scores_validos,"{""gpt"": 5.0, ""gemini"": 5.0, ""claude"": 5.0}","{""gpt"": ""CORRETO"", ""gemini"": ""CORRETO"", ""claude"": ""CORRETO""}",0.0
